ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),PROXIMITY (m),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
9.9068,-12.8539,3.0525,1.559,2.5642,-2.0521,0.0,48.005,15,2022-11-07 15:48:17:670
9.9068,-12.8539,3.0525,1.1937,3.3174,-1.0814,0.0,48.005,24,2022-11-07 15:48:17:679
11.5563,-10.7184,2.0158,0.9408,3.2868,-0.8664,0.0,48.005,35,2022-11-07 15:48:17:690
12.5547,-9.1239,0.7972,0.9408,3.2868,-0.8664,0.0,48.005,45,2022-11-07 15:48:17:700
12.5547,-8.6786,-0.2442,0.6677,2.4603,-1.1645,0.0,48.005,55,2022-11-07 15:48:17:710
12.1381,-8.6786,-0.2442,0.3097,0.9313,-1.6929,0.0,48.005,65,2022-11-07 15:48:17:720
10.8189,-8.4248,0.1101,-0.1392,-0.583,-2.0735,0.0,48.005,74,2022-11-07 15:48:17:729
6.1768,-9.4447,1.3622,-0.4966,-1.0271,-2.0735,0.0,48.005,85,2022-11-07 15:48:17:740
4.6805,-9.2843,1.9871,-1.5222,0.1006,-0.9,0.0,48.005,96,2022-11-07 15:48:17:751
4.6805,-9.2843,1.9871,-1.6835,0.3541,-0.6819,0.0,48.005,105,2022-11-07 15:48:17:760
1.4604,-10.6202,2.09,-1.7037,0.5575,-0.4712,0.0,48.005,114,2022-11-07 15:48:17:769
8.7097,-8.3051,3.584,-1.4013,0.99,-1.5029,0.0,48.005,125,2022-11-07 15:48:17:780
9.5381,-7.3642,4.5775,-1.4013,0.99,-1.5029,0.0,48.005,135,2022-11-07 15:48:17:790
9.5381,-7.3642,4.5775,-1.2681,1.5654,-1.8499,0.0,48.005,146,2022-11-07 15:48:17:801
6.8782,-7.2398,3.821,-1.2675,2.2026,-1.6935,0.0,48.005,155,2022-11-07 15:48:17:810
5.2359,-5.5567,2.5521,-1.3591,2.7981,-1.2708,0.0,48.005,166,2022-11-07 15:48:17:821
4.4243,-4.477,1.8267,-1.4129,2.9612,-1.0075,0.0,48.005,174,2022-11-07 15:48:17:829
4.4243,-4.477,1.8267,-1.4367,2.8855,-0.8139,0.0,48.005,185,2022-11-07 15:48:17:840
3.7946,-3.9096,1.2761,-1.4434,2.4445,-0.564,0.0,48.005,195,2022-11-07 15:48:17:850
3.4116,-3.4331,1.2138,-1.43,2.0895,-0.4187,0.0,48.005,205,2022-11-07 15:48:17:860
3.2009,-3.177,1.2401,-1.4233,1.7921,-0.2763,0.0,48.005,215,2022-11-07 15:48:17:870
3.0716,-3.0261,1.5179,-1.4141,1.5697,-0.0699,0.0,48.005,224,2022-11-07 15:48:17:879
3.0716,-3.0261,1.5179,-1.3952,1.4885,0.1299,0.0,48.005,234,2022-11-07 15:48:17:889
3.0166,-3.0357,1.798,-1.3445,1.4811,0.3474,0.0,48.005,245,2022-11-07 15:48:17:900
3.1794,-3.1195,2.1523,-1.2651,1.5367,0.5581,0.0,48.005,254,2022-11-07 15:48:17:909
3.5145,-3.2296,2.2959,-1.1679,1.6491,0.7487,0.0,48.005,266,2022-11-07 15:48:17:921
4.0748,-3.3517,2.4348,-1.1679,1.6491,0.7487,0.0,48.005,274,2022-11-07 15:48:17:929
4.0748,-3.3517,2.4348,-1.0219,1.8501,0.9387,0.0,48.005,285,2022-11-07 15:48:17:940
4.8074,-3.5409,2.4779,-0.8906,2.0236,1.0181,0.0,48.005,294,2022-11-07 15:48:17:949
5.3795,-3.7061,2.4563,-0.769,2.2197,1.0425,0.0,48.005,305,2022-11-07 15:48:17:960
6.0762,-3.8976,2.2768,-0.6334,2.5465,0.9949,0.0,48.005,315,2022-11-07 15:48:17:970
6.0762,-3.8976,2.2768,-0.5723,2.7047,0.9234,0.0,48.005,324,2022-11-07 15:48:17:979
6.6436,-4.1585,2.0039,-0.5326,2.7908,0.8587,0.0,48.005,335,2022-11-07 15:48:17:990
7.1081,-4.5392,1.8794,-0.5345,2.7933,0.8232,0.0,48.005,345,2022-11-07 15:48:18:000
7.7042,-4.7475,1.6902,-0.5901,2.7065,0.8128,0.0,48.005,354,2022-11-07 15:48:18:009
7.7042,-4.7475,1.6902,-0.7153,2.4243,0.7524,0.0,48.005,365,2022-11-07 15:48:18:020
8.2237,-4.7044,1.2545,-0.7153,2.4243,0.7524,0.0,48.005,374,2022-11-07 15:48:18:029
8.4895,-4.6541,1.0151,-0.9199,1.8183,0.6003,0.0,48.005,386,2022-11-07 15:48:18:041
8.4895,-4.6541,1.0151,-0.9199,1.8183,0.6003,0.0,48.005,396,2022-11-07 15:48:18:051
8.432,-4.4411,1.3024,-1.1698,1.0077,0.3248,0.0,48.005,405,2022-11-07 15:48:18:060
8.0059,-4.2663,1.9632,-1.3084,0.6259,0.1171,0.0,48.005,415,2022-11-07 15:48:18:070
8.0059,-4.2663,1.9632,-1.3652,0.5257,0.0041,0.0,48.005,425,2022-11-07 15:48:18:080
7.6372,-4.1562,2.43,-1.43,0.5563,-0.1651,0.0,48.005,434,2022-11-07 15:48:18:089
7.4145,-4.1585,2.5856,-1.4532,0.6638,-0.2519,0.0,48.005,445,2022-11-07 15:48:18:100
7.2685,-4.2615,2.7819,-1.4703,0.8049,-0.3038,0.0,48.005,454,2022-11-07 15:48:18:109
7.1991,-4.3597,2.7843,-1.4911,0.9704,-0.3802,0.0,48.005,465,2022-11-07 15:48:18:120
7.1991,-4.3597,2.7843,-1.532,1.1158,-0.4907,0.0,48.005,475,2022-11-07 15:48:18:130
7.211,-4.5943,2.5832,-1.532,1.1158,-0.4907,0.0,48.005,486,2022-11-07 15:48:18:141
7.2541,-4.8433,2.4037,-1.5766,1.139,-0.5665,0.0,48.005,495,2022-11-07 15:48:18:150
7.3786,-5.5711,2.0134,-1.7104,0.8538,-0.6257,0.0,48.005,505,2022-11-07 15:48:18:160
7.6635,-5.9685,2.4204,-1.7819,0.6357,-0.6606,0.0,48.005,515,2022-11-07 15:48:18:170
7.6635,-5.9685,2.4204,-1.799,0.4744,-0.7198,0.0,48.005,525,2022-11-07 15:48:18:180
7.9628,-6.4066,2.8346,-1.7672,0.3877,-0.7638,0.0,48.005,535,2022-11-07 15:48:18:190
7.9604,-6.7035,3.177,-1.6646,0.296,-0.8102,0.0,48.005,545,2022-11-07 15:48:18:200
7.7832,-6.9357,3.469,-1.6646,0.296,-0.8102,0.0,48.005,555,2022-11-07 15:48:18:210
7.5941,-7.0315,3.5792,-1.5467,0.2808,-0.8206,0.0,48.005,565,2022-11-07 15:48:18:220
7.5941,-7.0315,3.5792,-1.3714,0.2838,-0.8108,0.0,48.005,575,2022-11-07 15:48:18:230
7.1177,-7.0027,3.5576,-1.1893,0.2734,-0.7791,0.0,48.005,585,2022-11-07 15:48:18:240
6.5335,-6.8112,3.3829,-0.9951,0.1995,-0.7149,0.0,48.005,595,2022-11-07 15:48:18:250
6.1935,-6.6484,3.0621,-0.868,0.111,-0.6545,0.0,48.005,605,2022-11-07 15:48:18:260
6.1935,-6.6484,3.0621,-0.868,0.111,-0.6545,0.0,48.005,615,2022-11-07 15:48:18:270
6.2223,-6.7059,2.983,-0.7605,0.0144,-0.6001,0.0,48.005,625,2022-11-07 15:48:18:280
6.4473,-6.998,3.0166,-0.6707,-0.0931,-0.5494,0.0,48.005,635,2022-11-07 15:48:18:290
6.4425,-7.223,3.0142,-0.6267,-0.1719,-0.5225,0.0,48.005,644,2022-11-07 15:48:18:299
6.4545,-7.3738,3.0333,-0.5919,-0.2226,-0.4822,0.0,48.005,655,2022-11-07 15:48:18:310
6.4545,-7.3738,3.0333,-0.5675,-0.2421,-0.4468,0.0,48.005,665,2022-11-07 15:48:18:320
