ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),PROXIMITY (m),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
5.3149,-8.0753,-0.8667,1.0135,3.3553,1.5776,0.0,45.186,17,2022-11-07 15:53:31:668
5.4442,-8.0059,-1.932,1.0733,3.4896,1.5453,0.0,45.186,27,2022-11-07 15:53:31:678
5.4442,-8.0059,-1.932,1.0336,3.3058,1.5709,0.0,45.186,36,2022-11-07 15:53:31:687
5.4897,-8.0705,-2.8394,0.9133,2.9228,1.6314,0.0,45.186,47,2022-11-07 15:53:31:698
5.5304,-7.9604,-2.9567,0.697,2.3394,1.7084,0.0,45.186,56,2022-11-07 15:53:31:707
5.6213,-7.6156,-2.983,0.4417,1.6766,1.7255,0.0,45.186,67,2022-11-07 15:53:31:718
5.5088,-7.5893,-2.4755,0.2254,1.1757,1.7139,0.0,45.186,77,2022-11-07 15:53:31:728
5.5088,-7.5893,-2.4755,0.0178,0.7701,1.6864,0.0,45.186,87,2022-11-07 15:53:31:738
5.4202,-7.4959,-2.0493,-0.1637,0.475,1.6375,0.0,45.186,97,2022-11-07 15:53:31:748
5.2981,-7.5869,-1.118,-0.1637,0.475,1.6375,0.0,45.186,107,2022-11-07 15:53:31:758
5.1641,-7.7282,-0.4597,-0.2944,0.3113,1.5917,0.0,45.186,117,2022-11-07 15:53:31:768
5.1641,-7.7282,-0.4597,-0.4208,0.3278,1.5074,0.0,45.186,126,2022-11-07 15:53:31:777
4.9294,-7.6204,0.0048,-0.4532,0.5844,1.4243,0.0,45.186,138,2022-11-07 15:53:31:789
4.6493,-7.1895,0.2107,-0.4312,0.844,1.3425,0.0,45.186,147,2022-11-07 15:53:31:798
4.4243,-6.7945,0.3017,-0.3989,1.0474,1.2783,0.0,45.186,157,2022-11-07 15:53:31:808
4.4243,-6.7945,0.3017,-0.3989,1.0474,1.2783,0.0,45.186,167,2022-11-07 15:53:31:818
4.1825,-6.1457,0.146,-0.3585,1.2777,1.1849,0.0,45.186,176,2022-11-07 15:53:31:827
4.1059,-5.607,0.0215,-0.3292,1.4096,1.0957,0.0,45.186,187,2022-11-07 15:53:31:838
4.058,-5.2981,-0.079,-0.2975,1.497,0.9772,0.0,45.785,197,2022-11-07 15:53:31:848
4.058,-5.2981,-0.079,-0.259,1.5269,0.7854,0.0,45.785,207,2022-11-07 15:53:31:858
3.9191,-5.1689,-0.0982,-0.2266,1.5068,0.6131,0.0,45.785,217,2022-11-07 15:53:31:868
3.6989,-5.2574,-0.1532,-0.193,1.4567,0.4463,0.0,45.785,227,2022-11-07 15:53:31:878
3.6989,-5.2574,-0.1532,-0.157,1.3492,0.2735,0.0,45.785,237,2022-11-07 15:53:31:888
3.4643,-5.3341,-0.2825,-0.1435,1.2264,0.1592,0.0,45.785,247,2022-11-07 15:53:31:898
3.2991,-5.4322,-0.4309,-0.1423,1.037,0.0254,0.0,45.785,258,2022-11-07 15:53:31:909
3.2991,-5.4322,-0.4309,-0.1563,0.8196,-0.1028,0.0,45.785,266,2022-11-07 15:53:31:917
3.3158,-5.6213,-0.4812,-0.1618,0.7279,-0.1603,0.0,45.785,277,2022-11-07 15:53:31:928
3.3158,-5.6213,-0.4812,-0.1618,0.7279,-0.1603,0.0,45.785,287,2022-11-07 15:53:31:938
3.4906,-6.1385,-0.498,-0.1863,0.4225,-0.3515,0.0,45.785,297,2022-11-07 15:53:31:948
3.5911,-6.5526,-0.4764,-0.2144,0.1079,-0.564,0.0,45.785,307,2022-11-07 15:53:31:958
3.5911,-6.5526,-0.4764,-0.2315,-0.098,-0.699,0.0,45.785,317,2022-11-07 15:53:31:968
3.7827,-7.314,-0.3064,-0.2516,-0.3228,-0.853,0.0,45.785,327,2022-11-07 15:53:31:978
4.1155,-7.7377,-0.249,-0.2675,-0.5353,-1.0002,0.0,45.785,337,2022-11-07 15:53:31:988
4.1155,-7.7377,-0.249,-0.2663,-0.7155,-1.1517,0.0,45.785,347,2022-11-07 15:53:31:998
4.3692,-8.1328,-0.1149,-0.2712,-0.867,-1.3185,0.0,45.785,357,2022-11-07 15:53:32:008
4.4794,-8.5948,0.0958,-0.2694,-0.9794,-1.5078,0.0,45.785,366,2022-11-07 15:53:32:017
4.4506,-9.1622,0.2969,-0.2632,-0.9892,-1.6172,0.0,45.785,377,2022-11-07 15:53:32:028
4.4506,-9.1622,0.2969,-0.2632,-0.9892,-1.6172,0.0,45.785,386,2022-11-07 15:53:32:037
4.5632,-9.9475,0.3615,-0.2639,-0.9666,-1.6893,0.0,45.785,397,2022-11-07 15:53:32:048
4.69,-10.9075,0.5171,-0.2639,-0.8933,-1.7247,0.0,45.785,407,2022-11-07 15:53:32:058
4.8193,-11.6593,0.632,-0.2614,-0.8475,-1.7247,0.0,45.785,417,2022-11-07 15:53:32:068
4.7068,-12.0902,0.668,-0.2529,-0.6251,-1.6789,0.0,45.785,427,2022-11-07 15:53:32:078
4.7068,-12.0902,0.668,-0.2333,-0.3985,-1.561,0.0,45.785,437,2022-11-07 15:53:32:088
4.3597,-11.8795,0.6273,-0.2132,-0.2592,-1.4577,0.0,45.785,447,2022-11-07 15:53:32:098
3.7994,-10.9793,0.565,-0.1973,-0.156,-1.3759,0.0,45.785,457,2022-11-07 15:53:32:108
3.7994,-10.9793,0.565,-0.1728,0.0297,-1.2445,0.0,45.785,467,2022-11-07 15:53:32:118
3.402,-9.7081,0.4908,-0.1728,0.0297,-1.2445,0.0,45.785,477,2022-11-07 15:53:32:128
3.2249,-9.1622,0.3256,-0.1496,0.1244,-1.1975,0.0,45.785,488,2022-11-07 15:53:32:139
3.1506,-9.2269,0.1532,-0.1185,0.1952,-1.1792,0.0,45.785,497,2022-11-07 15:53:32:148
