ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),PROXIMITY (m),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
7.2613,-7.2781,-6.8759,2.11,-3.1651,1.1671,0.0,43.37,15,2022-11-07 15:50:49:653
7.709,-8.614,-7.5558,2.11,-3.1651,1.1671,0.0,43.37,25,2022-11-07 15:50:49:663
8.1806,-9.6985,-8.1543,1.829,-2.7546,0.924,0.0,43.37,35,2022-11-07 15:50:49:673
7.9963,-10.2491,-9.0521,1.4429,-1.98,0.5453,0.0,43.37,45,2022-11-07 15:50:49:683
7.9963,-10.2491,-9.0521,1.2126,-1.4547,0.2686,0.0,43.37,55,2022-11-07 15:50:49:693
7.4935,-10.3952,-8.8749,1.0965,-1.0686,0.0749,0.0,43.37,64,2022-11-07 15:50:49:702
6.7394,-9.641,-7.3834,1.0098,-0.5909,-0.0992,0.0,43.37,75,2022-11-07 15:50:49:713
6.3731,-9.0018,-5.6022,0.9237,-0.1664,-0.2275,0.0,43.37,85,2022-11-07 15:50:49:723
6.3731,-9.0018,-5.6022,0.7679,0.8122,-0.5866,0.0,43.37,96,2022-11-07 15:50:49:734
6.3492,-8.1064,-4.2639,0.7655,1.4866,-1.0686,0.0,43.37,105,2022-11-07 15:50:49:743
6.3444,-7.6755,-2.8849,0.7954,2.0144,-1.517,0.0,43.37,115,2022-11-07 15:50:49:753
6.7035,-7.7928,-1.7932,0.8259,2.5446,-2.0313,0.0,43.37,127,2022-11-07 15:50:49:765
6.7035,-7.7928,-1.7932,0.8259,2.5446,-2.0313,0.0,43.37,135,2022-11-07 15:50:49:773
7.527,-8.3841,-0.9122,0.8235,3.5061,-2.8731,0.0,43.37,145,2022-11-07 15:50:49:783
8.7432,-9.1598,-0.6943,0.8669,4.0217,-3.5273,0.0,43.37,154,2022-11-07 15:50:49:792
8.7432,-9.1598,-0.6943,1.044,4.2196,-4.2524,0.0,43.37,165,2022-11-07 15:50:49:803
9.902,-10.1031,-0.012,1.4405,4.0419,-5.2427,0.0,43.37,175,2022-11-07 15:50:49:813
10.3377,-10.9003,0.5602,1.5083,3.9857,-5.3575,0.0,43.37,185,2022-11-07 15:50:49:823
10.3377,-10.9003,0.5602,1.5083,3.9857,-5.3575,0.0,43.37,195,2022-11-07 15:50:49:833
9.9331,-14.7069,1.7597,1.4863,3.7291,-5.0679,0.0,43.37,205,2022-11-07 15:50:49:843
8.1639,-16.5336,0.5291,0.3189,3.894,-3.6569,0.0,43.37,215,2022-11-07 15:50:49:853
8.4272,-13.6464,-1.4939,-1.631,3.8012,-1.7021,0.0,43.37,225,2022-11-07 15:50:49:863
9.1143,-10.1845,0.3448,-2.6817,2.935,-0.878,0.0,43.37,235,2022-11-07 15:50:49:873
9.1143,-10.1845,0.3448,-2.9877,2.1378,-0.7546,0.0,43.37,244,2022-11-07 15:50:49:882
8.8342,-8.3985,2.0589,-2.86,1.5825,-0.9471,0.0,43.37,255,2022-11-07 15:50:49:893
7.6252,-7.9436,2.8466,-2.4905,1.1702,-1.1224,0.0,55.953,265,2022-11-07 15:50:49:903
6.0523,-7.7425,3.3158,-1.9095,0.9258,-1.0631,0.0,55.953,275,2022-11-07 15:50:49:913
4.6039,-8.3865,3.7324,-1.5167,1.0957,-0.6978,0.0,55.953,285,2022-11-07 15:50:49:923
4.5727,-7.4337,3.5983,-1.2339,1.5587,-0.1407,0.0,55.953,295,2022-11-07 15:50:49:933
4.5727,-7.4337,3.5983,-0.8686,2.1604,0.4359,0.0,55.953,305,2022-11-07 15:50:49:943
5.3676,-6.5239,3.4236,-0.6261,2.5605,0.7414,0.0,55.953,316,2022-11-07 15:50:49:954
6.1744,-6.8902,2.454,-0.3708,2.6998,1.0431,0.0,55.953,326,2022-11-07 15:50:49:964
7.3164,-7.2038,1.8818,-0.3708,2.6998,1.0431,0.0,55.953,334,2022-11-07 15:50:49:972
8.2525,-7.5749,1.6424,-0.1105,2.2691,1.2343,0.0,55.953,347,2022-11-07 15:50:49:985
