ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),PROXIMITY (m),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
3.7396,-9.3274,1.7621,1.4887,1.6589,0.8416,0.0,42.128,14,2022-11-07 15:52:45:510
4.2471,-9.2987,1.1204,1.5467,2.4695,0.8354,0.0,42.128,23,2022-11-07 15:52:45:519
4.2471,-9.2987,1.1204,1.5553,3.1243,0.7792,0.0,42.128,34,2022-11-07 15:52:45:530
4.3285,-9.3825,0.6344,1.5058,3.6283,0.7151,0.0,42.128,44,2022-11-07 15:52:45:540
4.2208,-9.3083,-0.1508,1.3751,4.0584,0.6815,0.0,42.128,55,2022-11-07 15:52:45:551
4.1801,-9.0425,-0.984,1.1961,4.183,0.6833,0.0,42.128,64,2022-11-07 15:52:45:560
4.1801,-9.0425,-0.984,0.8876,4.1072,0.6937,0.0,42.128,74,2022-11-07 15:52:45:570
4.2806,-8.6331,-1.1851,0.4673,3.7835,0.6577,0.0,42.128,84,2022-11-07 15:52:45:580
4.3573,-8.0418,-2.1834,0.4673,3.7835,0.6577,0.0,42.128,94,2022-11-07 15:52:45:590
4.3573,-8.0418,-2.1834,0.1332,3.3406,0.5893,0.0,42.128,104,2022-11-07 15:52:45:600
4.3501,-7.2469,-2.5042,-0.2162,2.7926,0.4873,0.0,42.128,114,2022-11-07 15:52:45:610
3.2512,-7.1105,-0.9457,-0.543,2.3217,0.4579,0.0,42.128,124,2022-11-07 15:52:45:620
3.0621,-6.7897,-0.6799,-0.675,2.1586,0.4934,0.0,42.128,134,2022-11-07 15:52:45:630
2.983,-6.4593,-0.3448,-0.8265,1.8959,0.5318,0.0,42.128,144,2022-11-07 15:52:45:640
2.8921,-6.4641,-0.2322,-0.9193,1.6473,0.5178,0.0,42.128,154,2022-11-07 15:52:45:650
2.8921,-6.4641,-0.2322,-0.9474,1.5172,0.486,0.0,42.128,163,2022-11-07 15:52:45:659
3.0214,-6.6963,0.0479,-0.9505,1.3999,0.4176,0.0,42.128,175,2022-11-07 15:52:45:671
2.983,-6.8375,0.3232,-0.9358,1.3003,0.3199,0.0,42.128,184,2022-11-07 15:52:45:680
2.8107,-6.9022,0.4764,-0.9083,1.2288,0.2771,0.0,42.128,194,2022-11-07 15:52:45:690
2.8107,-6.9022,0.4764,-0.8564,1.1464,0.2515,0.0,42.128,204,2022-11-07 15:52:45:700
2.7795,-6.6867,0.5578,-0.8026,1.0902,0.2301,0.0,42.128,214,2022-11-07 15:52:45:710
2.5569,-6.6221,0.8236,-0.7519,1.0773,0.2521,0.0,42.128,224,2022-11-07 15:52:45:720
2.4587,-6.3252,0.8619,-0.678,1.0608,0.3107,0.0,42.128,233,2022-11-07 15:52:45:729
2.4587,-6.3252,0.8619,-0.6175,1.0211,0.3437,0.0,42.128,244,2022-11-07 15:52:45:740
2.6311,-6.1864,0.8092,-0.6175,1.0211,0.3437,0.0,42.128,254,2022-11-07 15:52:45:750
2.8921,-6.3204,0.6608,-0.499,0.7035,0.3064,0.0,46.618,264,2022-11-07 15:52:45:760
3.1267,-6.7585,0.644,-0.499,0.7035,0.3064,0.0,46.618,274,2022-11-07 15:52:45:770
3.3829,-7.4935,0.7781,-0.4575,0.4817,0.2521,0.0,46.618,286,2022-11-07 15:52:45:782
3.3829,-7.4935,0.7781,-0.4123,0.1855,0.1782,0.0,46.618,295,2022-11-07 15:52:45:791
3.5002,-8.0801,0.9289,-0.375,-0.0803,0.1268,0.0,46.618,304,2022-11-07 15:52:45:800
3.6175,-8.918,1.1851,-0.3482,-0.2721,0.1097,0.0,46.618,314,2022-11-07 15:52:45:810
3.6175,-8.918,1.1851,-0.3219,-0.4352,0.1158,0.0,46.618,324,2022-11-07 15:52:45:820
3.7444,-9.2867,1.3239,-0.284,-0.6099,0.1244,0.0,46.618,334,2022-11-07 15:52:45:830
3.9383,-9.4423,1.5203,-0.2443,-0.7076,0.1073,0.0,46.618,343,2022-11-07 15:52:45:839
4.0221,-9.2101,1.6543,-0.1625,-0.7852,0.0389,0.0,46.618,356,2022-11-07 15:52:45:852
4.0221,-9.2101,1.6543,-0.1625,-0.7852,0.0389,0.0,46.618,364,2022-11-07 15:52:45:860
4.0173,-8.8797,1.7118,-0.0415,-0.8371,-0.0796,0.0,46.618,373,2022-11-07 15:52:45:869
3.8425,-8.6858,1.7405,0.066,-0.8475,-0.1908,0.0,46.618,384,2022-11-07 15:52:45:880
3.5792,-8.4967,1.5993,0.1888,-0.82,-0.3166,0.0,46.618,394,2022-11-07 15:52:45:890
3.4882,-8.2333,1.3742,0.2847,-0.8157,-0.4327,0.0,46.618,406,2022-11-07 15:52:45:902
3.4882,-8.2333,1.3742,0.3409,-0.8414,-0.5579,0.0,46.618,413,2022-11-07 15:52:45:909
3.39,-8.1567,1.2258,0.358,-0.8609,-0.6361,0.0,46.618,425,2022-11-07 15:52:45:921
3.4068,-8.2932,1.2952,0.3574,-0.8933,-0.7852,0.0,46.618,434,2022-11-07 15:52:45:930
3.3948,-8.4823,1.3263,0.3415,-0.9116,-0.8774,0.0,46.618,444,2022-11-07 15:52:45:940
3.3948,-8.4823,1.3263,0.3415,-0.9116,-0.8774,0.0,46.618,453,2022-11-07 15:52:45:949
3.4307,-8.9348,1.4005,0.3079,-0.9269,-0.9629,0.0,46.618,465,2022-11-07 15:52:45:961
3.3326,-9.4926,1.616,0.2371,-0.8976,-1.0607,0.0,46.618,474,2022-11-07 15:52:45:970
3.3326,-9.4926,1.616,0.1809,-0.8389,-1.0857,0.0,46.618,484,2022-11-07 15:52:45:980
3.2392,-9.823,1.7381,0.1167,-0.7571,-1.0906,0.0,46.618,493,2022-11-07 15:52:45:989
3.2392,-9.823,1.7381,0.0324,-0.6221,-1.0509,0.0,46.618,503,2022-11-07 15:52:45:999
3.0429,-9.9499,1.7573,-0.0415,-0.5011,-0.9978,0.0,46.618,514,2022-11-07 15:52:46:010
2.928,-10.0361,1.7573,-0.1203,-0.3814,-0.9403,0.0,46.618,527,2022-11-07 15:52:46:023
2.928,-10.0361,1.7573,-0.2077,-0.2342,-0.8829,0.0,46.618,534,2022-11-07 15:52:46:030
2.9256,-9.9403,1.7573,-0.259,-0.12,-0.8542,0.0,46.618,543,2022-11-07 15:52:46:039
2.9112,-9.7751,1.7142,-0.259,-0.12,-0.8542,0.0,46.618,554,2022-11-07 15:52:46:050
2.8633,-9.6315,1.798,-0.2913,0.0034,-0.8487,0.0,46.618,563,2022-11-07 15:52:46:059
2.7748,-9.4974,1.8219,-0.2926,0.1439,-0.8591,0.0,41.868,574,2022-11-07 15:52:46:070
2.7748,-9.4974,1.8219,-0.273,0.2624,-0.8725,0.0,41.868,584,2022-11-07 15:52:46:080
2.6862,-9.4232,1.7716,-0.251,0.3785,-0.8835,0.0,41.868,594,2022-11-07 15:52:46:090
2.6359,-9.4304,1.7668,-0.2168,0.5324,-0.8841,0.0,41.868,604,2022-11-07 15:52:46:100
2.5449,-9.4184,1.7094,-0.1844,0.6534,-0.8756,0.0,41.868,613,2022-11-07 15:52:46:109
2.5449,-9.4184,1.7094,-0.1557,0.7579,-0.853,0.0,41.868,624,2022-11-07 15:52:46:120
2.4563,-9.3609,1.6112,-0.1368,0.8275,-0.8267,0.0,41.868,634,2022-11-07 15:52:46:130
2.4324,-9.313,1.5681,-0.1093,0.9387,-0.7711,0.0,41.868,644,2022-11-07 15:52:46:140
2.4324,-9.313,1.5681,-0.083,1.0321,-0.6954,0.0,41.868,655,2022-11-07 15:52:46:151
2.2864,-9.2795,1.4436,-0.0665,1.0896,-0.594,0.0,41.868,664,2022-11-07 15:52:46:160
2.2864,-9.2795,1.4436,-0.0574,1.0902,-0.4883,0.0,41.868,674,2022-11-07 15:52:46:170
2.351,-9.2819,1.1851,-0.0574,1.0902,-0.4883,0.0,41.868,683,2022-11-07 15:52:46:179
2.5377,-9.4256,1.0582,-0.061,1.0211,-0.3991,0.0,41.868,694,2022-11-07 15:52:46:190
2.7436,-9.5094,1.0965,-0.0684,0.891,-0.3325,0.0,41.868,704,2022-11-07 15:52:46:200
2.8921,-9.6698,1.209,-0.0501,0.8012,-0.2953,0.0,41.868,714,2022-11-07 15:52:46:210
2.8921,-9.6698,1.209,-0.0317,0.6931,-0.2213,0.0,41.868,724,2022-11-07 15:52:46:220
2.9639,-9.7153,1.3311,-0.0158,0.6339,-0.1444,0.0,41.868,734,2022-11-07 15:52:46:230
3.0453,-9.5979,1.4221,0.0061,0.5862,-0.0595,0.0,41.868,744,2022-11-07 15:52:46:240
3.0453,-9.5979,1.4221,0.0061,0.5862,-0.0595,0.0,41.868,754,2022-11-07 15:52:46:250
3.1219,-9.3801,1.4293,0.0373,0.5404,0.0401,0.0,41.868,763,2022-11-07 15:52:46:259
