ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),PROXIMITY (m),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
9.2316,-7.4097,-1.9967,-0.1258,2.2355,-1.1877,0.0,40.052,13,2022-11-07 15:50:52:737
7.891,-8.0178,0.0575,-0.2932,0.8831,-1.5158,0.0,40.052,22,2022-11-07 15:50:52:746
7.3762,-8.262,1.6854,-0.4587,0.15,-1.6068,0.0,40.052,33,2022-11-07 15:50:52:757
7.3762,-8.262,1.6854,-0.5473,0.0108,-1.484,0.0,40.052,42,2022-11-07 15:50:52:766
7.2924,-8.1136,2.533,-0.5094,0.2789,-1.3044,0.0,40.052,53,2022-11-07 15:50:52:777
7.4289,-7.5462,2.7939,-0.3909,0.8672,-1.112,0.0,40.052,62,2022-11-07 15:50:52:786
7.5821,-7.2565,2.6598,-0.2712,1.4225,-1.0014,0.0,40.052,73,2022-11-07 15:50:52:797
7.6851,-7.369,2.1475,-0.1753,1.9258,-0.8823,0.0,40.052,82,2022-11-07 15:50:52:806
7.6851,-7.369,2.1475,-0.0971,2.3021,-0.7174,0.0,40.052,93,2022-11-07 15:50:52:817
7.6444,-7.4145,1.3,-0.1105,2.2997,-0.5665,0.0,40.052,102,2022-11-07 15:50:52:826
7.4983,-7.3666,0.9026,-0.1557,2.2416,-0.5109,0.0,51.525,114,2022-11-07 15:50:52:838
6.9716,-7.0099,0.6177,-0.394,1.9808,-0.3313,0.0,51.525,123,2022-11-07 15:50:52:847
6.9716,-7.0099,0.6177,-0.5852,1.7371,-0.2244,0.0,51.525,133,2022-11-07 15:50:52:857
6.5311,-6.8208,0.7398,-0.7794,1.483,-0.1193,0.0,51.525,143,2022-11-07 15:50:52:867
6.3037,-6.7202,1.0366,-1.0152,1.2514,0.0059,0.0,51.525,153,2022-11-07 15:50:52:877
6.2055,-6.6364,1.5298,-1.1655,1.1574,0.089,0.0,51.525,162,2022-11-07 15:50:52:886
6.2055,-6.6364,1.5298,-1.1655,1.1574,0.089,0.0,51.525,172,2022-11-07 15:50:52:896
6.2127,-6.5096,1.9009,-1.2645,1.1256,0.1409,0.0,51.525,183,2022-11-07 15:50:52:907
6.2749,-6.3611,2.2361,-1.3255,1.1519,0.1574,0.0,51.525,193,2022-11-07 15:50:52:917
6.3037,-6.3132,2.1978,-1.3451,1.1806,0.1574,0.0,51.525,203,2022-11-07 15:50:52:927
6.3037,-6.3132,2.1978,-1.3567,1.2392,0.2423,0.0,51.525,212,2022-11-07 15:50:52:936
6.3348,-6.6197,2.3726,-1.3567,1.2392,0.2423,0.0,51.525,223,2022-11-07 15:50:52:947
6.6795,-6.7968,2.3797,-1.339,1.2276,0.3455,0.0,51.525,233,2022-11-07 15:50:52:957
6.9142,-6.8328,2.4587,-1.3042,1.1604,0.4103,0.0,51.525,243,2022-11-07 15:50:52:967
6.6604,-6.3587,2.5425,-1.2467,1.0596,0.4818,0.0,51.525,253,2022-11-07 15:50:52:977
