ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),PROXIMITY (m),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
9.021,-3.4212,1.7764,-0.3537,0.7511,-0.1676,0.0,48.005,67,2022-11-07 15:47:26:820
9.0665,-3.3589,1.8099,-0.3537,0.7511,-0.1676,0.0,48.005,73,2022-11-07 15:47:26:826
9.076,-3.3637,1.774,-0.3213,0.7163,-0.1309,0.0,48.005,86,2022-11-07 15:47:26:839
9.1598,-3.2081,1.877,-0.3213,0.7163,-0.1309,0.0,48.005,94,2022-11-07 15:47:26:847
9.1598,-3.2081,1.877,-0.2993,0.6827,-0.112,0.0,48.005,104,2022-11-07 15:47:26:857
9.2484,-3.0285,2.0158,-0.292,0.6742,-0.0998,0.0,48.005,114,2022-11-07 15:47:26:867
9.2436,-2.849,2.1403,-0.2871,0.6552,-0.0863,0.0,48.005,124,2022-11-07 15:47:26:877
9.167,-2.691,2.3438,-0.284,0.6393,-0.0686,0.0,48.005,134,2022-11-07 15:47:26:887
8.9779,-2.691,2.5162,-0.2645,0.6186,-0.0528,0.0,48.005,143,2022-11-07 15:47:26:896
8.7073,-2.916,2.7149,-0.2168,0.5667,-0.0204,0.0,48.005,159,2022-11-07 15:47:26:912
8.7073,-2.916,2.7149,-0.1264,0.4671,0.0542,0.0,48.005,164,2022-11-07 15:47:26:917
8.5469,-2.9519,3.1435,-0.0366,0.4084,0.1207,0.0,48.005,175,2022-11-07 15:47:26:928
8.5469,-2.9519,3.1435,-0.0366,0.4084,0.1207,0.0,48.005,184,2022-11-07 15:47:26:937
8.4081,-2.6742,3.4307,0.0526,0.3498,0.1892,0.0,48.005,194,2022-11-07 15:47:26:947
8.1735,-2.3678,3.5552,0.1674,0.2514,0.2722,0.0,48.005,204,2022-11-07 15:47:26:957
7.8838,-2.2193,3.6893,0.2493,0.1879,0.3437,0.0,48.005,214,2022-11-07 15:47:26:967
7.5917,-2.1403,3.797,0.3525,0.161,0.4414,0.0,48.005,224,2022-11-07 15:47:26:977
7.472,-2.102,3.8569,0.4631,0.183,0.5428,0.0,48.005,237,2022-11-07 15:47:26:990
