ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),PROXIMITY (m),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
9.8876,0.2322,-0.2777,-0.0091,0.3852,0.2838,0.0,43.283,12,2022-11-07 15:49:30:986
10.0911,0.4285,-0.237,-0.0097,0.3913,0.2961,0.0,43.283,22,2022-11-07 15:49:30:996
10.0911,0.4285,-0.237,-0.0024,0.381,0.2881,0.0,43.283,32,2022-11-07 15:49:31:006
10.2683,0.4932,-0.1724,-6.0E-4,0.3669,0.2704,0.0,43.283,41,2022-11-07 15:49:31:015
10.3952,0.5004,-0.0886,0.0025,0.3681,0.2502,0.0,43.283,52,2022-11-07 15:49:31:026
10.4335,0.4214,-0.0096,0.0129,0.3632,0.2203,0.0,43.283,62,2022-11-07 15:49:31:036
10.4335,0.4214,-0.0096,0.0184,0.3736,0.1989,0.0,43.283,71,2022-11-07 15:49:31:045
10.3569,0.2921,0.1173,0.0202,0.3822,0.1818,0.0,43.283,82,2022-11-07 15:49:31:056
10.1725,0.1508,0.2705,0.0287,0.3895,0.1702,0.0,43.283,92,2022-11-07 15:49:31:066
9.9451,0.0239,0.4884,0.0587,0.4029,0.1745,0.0,43.283,102,2022-11-07 15:49:31:076
9.6793,-0.2131,0.7996,0.0587,0.4029,0.1745,0.0,43.283,112,2022-11-07 15:49:31:086
9.6793,-0.2131,0.7996,0.1039,0.4194,0.1879,0.0,43.283,122,2022-11-07 15:49:31:096
9.3633,-0.3615,0.9098,0.1546,0.4304,0.2173,0.0,43.283,132,2022-11-07 15:49:31:106
9.0976,-0.3998,1.0199,0.2316,0.428,0.2741,0.0,43.283,142,2022-11-07 15:49:31:116
8.9372,-0.407,1.1252,0.311,0.4042,0.3559,0.0,43.283,152,2022-11-07 15:49:31:126
8.9132,-0.4333,1.233,0.3769,0.381,0.4347,0.0,43.283,162,2022-11-07 15:49:31:136
8.9132,-0.4333,1.233,0.4454,0.3596,0.5117,0.0,43.283,171,2022-11-07 15:49:31:145
8.9372,-0.4261,1.3503,0.5095,0.3382,0.5935,0.0,43.283,182,2022-11-07 15:49:31:156
8.9898,-0.4214,1.5226,0.5969,0.3162,0.6943,0.0,43.283,193,2022-11-07 15:49:31:167
9.0258,-0.4357,1.6711,0.6793,0.3095,0.778,0.0,43.283,202,2022-11-07 15:49:31:176
9.0258,-0.4357,1.6711,0.7612,0.3156,0.8434,0.0,43.283,213,2022-11-07 15:49:31:187
9.0162,-0.5578,1.8099,0.8491,0.337,0.9033,0.0,43.283,223,2022-11-07 15:49:31:197
8.8893,-0.7206,1.8123,0.9548,0.3724,0.9723,0.0,43.283,232,2022-11-07 15:49:31:206
8.8653,-0.6751,1.7645,1.0275,0.3956,1.0175,0.0,43.283,241,2022-11-07 15:49:31:215
8.8653,-0.6751,1.7645,1.0703,0.3822,1.0505,0.0,46.112,252,2022-11-07 15:49:31:226
8.9827,-0.6081,1.367,1.0544,0.3009,1.0828,0.0,46.112,262,2022-11-07 15:49:31:236
9.1,-0.5075,0.225,0.9756,0.1,1.125,0.0,46.112,272,2022-11-07 15:49:31:246
9.27,-0.3639,-0.7158,0.8388,-0.2067,1.1818,0.0,46.112,282,2022-11-07 15:49:31:256
9.27,-0.3639,-0.7158,0.8388,-0.2067,1.1818,0.0,46.112,292,2022-11-07 15:49:31:266
9.1862,-0.2562,-1.1827,0.6262,-0.6899,1.2484,0.0,46.112,302,2022-11-07 15:49:31:276
8.7816,-0.1939,-0.8379,0.416,-1.1297,1.3449,0.0,46.112,311,2022-11-07 15:49:31:285
8.5182,-0.225,-0.3184,0.2859,-1.3802,1.4549,0.0,46.112,322,2022-11-07 15:49:31:296
8.4392,-0.1676,-0.5243,0.1747,-1.5659,1.6583,0.0,46.112,332,2022-11-07 15:49:31:306
8.4392,-0.1676,-0.5243,0.0678,-1.732,1.8745,0.0,46.112,341,2022-11-07 15:49:31:315
8.8869,-0.2681,-1.2737,-0.1423,-2.0222,2.1512,0.0,46.112,352,2022-11-07 15:49:31:326
9.7153,-0.5315,-2.1188,-0.3537,-2.3325,2.3602,0.0,46.112,362,2022-11-07 15:49:31:336
10.9003,-1.0558,-1.9847,-0.612,-2.5811,2.5642,0.0,46.112,372,2022-11-07 15:49:31:346
12.2315,-1.8099,-1.0366,-0.722,-2.5207,2.6399,0.0,46.112,382,2022-11-07 15:49:31:356
12.2315,-1.8099,-1.0366,-0.7605,-2.167,2.6094,0.0,46.112,392,2022-11-07 15:49:31:366
13.3734,-2.2385,-0.2322,-0.7605,-1.3918,2.4011,0.0,46.112,402,2022-11-07 15:49:31:376
13.395,-2.8394,0.225,-0.7061,-0.7009,2.191,0.0,46.112,412,2022-11-07 15:49:31:386
13.5458,-3.4834,0.7948,-0.7061,-0.7009,2.191,0.0,46.112,421,2022-11-07 15:49:31:395
13.6344,-4.4818,0.9481,-0.5687,0.285,1.8299,0.0,46.112,432,2022-11-07 15:49:31:406
13.6344,-4.4818,0.9481,-0.3952,1.2881,1.3419,0.0,46.112,442,2022-11-07 15:49:31:416
13.1843,-6.3324,0.6033,-0.2645,2.0236,0.943,0.0,46.112,451,2022-11-07 15:49:31:425
11.439,-8.377,-1.9943,-0.2504,2.4848,0.6974,0.0,46.112,462,2022-11-07 15:49:31:436
10.06,-9.2723,-5.2335,-0.5174,2.2416,0.6259,0.0,46.112,472,2022-11-07 15:49:31:446
9.4256,-8.772,-5.3939,-0.8222,1.4952,0.6381,0.0,46.112,481,2022-11-07 15:49:31:455
9.495,-7.8814,-3.0381,-1.0012,0.5477,0.5923,0.0,46.112,493,2022-11-07 15:49:31:467
9.495,-7.8814,-3.0381,-0.9236,0.1146,0.4671,0.0,46.112,502,2022-11-07 15:49:31:476
9.5213,-6.8687,-1.075,-0.7257,-0.0082,0.2594,0.0,46.112,512,2022-11-07 15:49:31:486
9.5788,-6.6532,-0.474,-0.3646,0.1128,0.0065,0.0,46.112,522,2022-11-07 15:49:31:496
9.5788,-6.6532,-0.474,-0.3646,0.1128,0.0065,0.0,46.112,531,2022-11-07 15:49:31:505
9.6722,-6.7514,-0.486,0.0397,0.3956,-0.2513,0.0,46.112,543,2022-11-07 15:49:31:517
10.1007,-7.065,-0.7901,0.3354,0.6729,-0.44,0.0,46.112,552,2022-11-07 15:49:31:526
10.2994,-7.6204,-0.9552,0.603,0.9417,-0.5934,0.0,46.112,561,2022-11-07 15:49:31:535
10.4622,-8.3363,-1.3311,0.843,1.1451,-0.6612,0.0,46.112,572,2022-11-07 15:49:31:546
10.5963,-8.523,-1.1635,1.088,1.227,-0.5811,0.0,51.25,582,2022-11-07 15:49:31:556
10.5963,-8.523,-1.1635,1.2981,1.1836,-0.4388,0.0,51.25,591,2022-11-07 15:49:31:565
10.4,-8.5661,-0.5219,1.5962,1.0712,-0.1554,0.0,51.25,602,2022-11-07 15:49:31:576
9.8876,-8.3147,0.0551,1.8907,0.9173,0.2319,0.0,51.25,612,2022-11-07 15:49:31:586
9.1359,-7.9819,0.328,1.8907,0.9173,0.2319,0.0,51.25,621,2022-11-07 15:49:31:595
8.5421,-7.3906,0.2873,2.0874,0.7414,0.5911,0.0,51.25,632,2022-11-07 15:49:31:606
8.5421,-7.3906,0.2873,2.2425,0.4616,0.9778,0.0,51.25,643,2022-11-07 15:49:31:617
8.0418,-6.6556,0.1963,2.3067,0.2105,1.1855,0.0,51.25,652,2022-11-07 15:49:31:626
7.5127,-5.9709,0.1365,2.3219,-0.1218,1.3498,0.0,51.25,661,2022-11-07 15:49:31:635
6.8064,-5.6549,0.1436,2.2932,-0.4003,1.4439,0.0,51.25,672,2022-11-07 15:49:31:646
6.4377,-5.6309,0.079,2.237,-0.6569,1.585,0.0,51.25,682,2022-11-07 15:49:31:656
6.4377,-5.6309,0.079,2.1436,-0.8829,1.7511,0.0,51.25,691,2022-11-07 15:49:31:665
6.2342,-5.6429,0.0575,2.0238,-1.0827,1.9362,0.0,51.25,702,2022-11-07 15:49:31:676
6.5862,-5.765,0.1173,1.8467,-1.3099,2.1781,0.0,51.25,712,2022-11-07 15:49:31:686
7.4552,-5.9517,0.3759,1.6763,-1.4675,2.3302,0.0,51.25,721,2022-11-07 15:49:31:695
7.4552,-5.9517,0.3759,1.559,-1.5262,2.337,0.0,51.25,732,2022-11-07 15:49:31:706
8.4607,-6.1457,0.7733,1.4667,-1.5103,2.2545,0.0,51.25,742,2022-11-07 15:49:31:716
8.9228,-6.3348,1.13,1.3702,-1.3582,2.1299,0.0,51.25,751,2022-11-07 15:49:31:725
8.9898,-6.421,1.3934,1.2993,-1.1273,2.0456,0.0,51.25,762,2022-11-07 15:49:31:736
8.8606,-6.2223,1.5107,1.2315,-0.7693,1.9539,0.0,51.25,772,2022-11-07 15:49:31:746
8.8606,-6.2223,1.5107,1.2315,-0.7693,1.9539,0.0,51.25,781,2022-11-07 15:49:31:755
8.511,-6.1385,1.3,1.1821,-0.4962,1.8886,0.0,51.25,792,2022-11-07 15:49:31:766
8.1447,-5.9661,1.0199,1.1436,-0.3179,1.847,0.0,51.25,802,2022-11-07 15:49:31:776
7.8431,-5.698,0.826,1.1057,-0.1975,1.7933,0.0,51.25,812,2022-11-07 15:49:31:786
7.5247,-5.3604,0.6153,1.0831,-0.1713,1.7316,0.0,51.25,822,2022-11-07 15:49:31:796
7.1895,-5.0252,0.5459,1.0611,-0.1908,1.6235,0.0,51.25,832,2022-11-07 15:49:31:806
7.1895,-5.0252,0.5459,1.0434,-0.2354,1.497,0.0,51.25,841,2022-11-07 15:49:31:815
6.7753,-4.7379,0.5004,1.0251,-0.258,1.3981,0.0,51.25,852,2022-11-07 15:49:31:826
6.3755,-4.5177,0.4238,0.9994,-0.2818,1.2924,0.0,51.25,862,2022-11-07 15:49:31:836
6.093,-4.3285,0.4094,0.9786,-0.2953,1.2166,0.0,51.25,872,2022-11-07 15:49:31:846
5.9637,-4.3477,0.3519,0.9573,-0.3008,1.1458,0.0,51.25,882,2022-11-07 15:49:31:856
5.9637,-4.3477,0.3519,0.9133,-0.3588,1.0914,0.0,51.25,892,2022-11-07 15:49:31:866
5.8655,-4.4195,0.2418,0.8656,-0.4694,1.0095,0.0,48.189,902,2022-11-07 15:49:31:876
5.8655,-4.3716,0.1748,0.8656,-0.4694,1.0095,0.0,48.189,911,2022-11-07 15:49:31:885
5.9493,-4.3836,0.2131,0.8137,-0.6227,0.9033,0.0,48.189,922,2022-11-07 15:49:31:896
6.2318,-4.6302,0.3519,0.7636,-0.7406,0.8073,0.0,48.189,933,2022-11-07 15:49:31:907
6.2318,-4.6302,0.3519,0.6848,-0.8646,0.6858,0.0,48.189,941,2022-11-07 15:49:31:915
6.5622,-5.1138,0.5123,0.6042,-0.9434,0.6082,0.0,48.189,952,2022-11-07 15:49:31:926
6.9333,-5.5902,0.7877,0.5083,-1.0075,0.53,0.0,48.189,962,2022-11-07 15:49:31:936
7.2685,-5.7578,0.9433,0.4185,-1.0448,0.4182,0.0,48.189,971,2022-11-07 15:49:31:945
7.46,-6.0188,1.2521,0.3415,-0.9837,0.3297,0.0,48.189,982,2022-11-07 15:49:31:956
7.46,-6.0188,1.2521,0.267,-0.8738,0.2472,0.0,48.189,992,2022-11-07 15:49:31:966
7.6946,-6.0571,1.288,0.267,-0.8738,0.2472,0.0,48.189,1001,2022-11-07 15:49:31:975
7.6252,-6.4449,1.6471,0.0593,-0.4529,0.1256,0.0,48.189,1012,2022-11-07 15:49:31:986
7.5199,-6.4617,1.6926,0.0593,-0.4529,0.1256,0.0,48.189,1021,2022-11-07 15:49:31:995
7.5199,-6.4617,1.6926,-0.0452,-0.203,0.1055,0.0,48.189,1032,2022-11-07 15:49:32:006
7.4169,-6.2558,1.6136,-0.182,0.103,0.067,0.0,48.189,1042,2022-11-07 15:49:32:016
7.3762,-6.0116,1.4604,-0.2822,0.3028,0.001,0.0,48.189,1051,2022-11-07 15:49:32:025
7.3379,-5.8512,1.2737,-0.3995,0.4604,-0.123,0.0,48.189,1062,2022-11-07 15:49:32:036
7.1224,-5.7698,1.1659,-0.4868,0.5343,-0.2281,0.0,48.189,1072,2022-11-07 15:49:32:046
6.8136,-5.6908,1.0941,-0.5711,0.5807,-0.3099,0.0,48.189,1081,2022-11-07 15:49:32:055
6.8136,-5.6908,1.0941,-0.6768,0.632,-0.3661,0.0,48.189,1092,2022-11-07 15:49:32:066
6.5814,-5.6812,1.0893,-0.7574,0.6729,-0.382,0.0,48.189,1102,2022-11-07 15:49:32:076
6.4928,-5.6644,1.0678,-0.8521,0.7108,-0.3899,0.0,48.189,1111,2022-11-07 15:49:32:085
6.5838,-5.753,1.1085,-0.9346,0.7426,-0.4058,0.0,48.189,1122,2022-11-07 15:49:32:096
6.8328,-5.9781,1.1276,-0.9951,0.7579,-0.4235,0.0,48.189,1132,2022-11-07 15:49:32:106
