ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),PROXIMITY (m),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
7.393,-5.7219,-3.7372,0.3702,0.2948,-0.101,0.0,44.621,14,2022-11-07 15:49:15:687
7.3547,-5.8608,-3.7779,0.3702,0.2948,-0.101,0.0,44.621,24,2022-11-07 15:49:15:697
7.1129,-6.0403,-3.9646,0.4716,0.1604,-0.0937,0.0,44.621,34,2022-11-07 15:49:15:707
6.8208,-6.0259,-3.7994,0.5223,-0.0265,-0.021,0.0,44.621,43,2022-11-07 15:49:15:716
6.6388,-5.9158,-3.6151,0.5309,-0.1328,0.1018,0.0,44.621,54,2022-11-07 15:49:15:727
6.6388,-5.9158,-3.6151,0.5272,-0.1627,0.2173,0.0,44.621,64,2022-11-07 15:49:15:737
6.3061,-5.6166,-3.5481,0.526,-0.2287,0.3846,0.0,44.621,74,2022-11-07 15:49:15:747
5.9613,-5.3029,-3.5409,0.5352,-0.3289,0.5263,0.0,44.621,84,2022-11-07 15:49:15:757
5.9876,-5.2,-3.5481,0.5321,-0.4565,0.6638,0.0,44.621,94,2022-11-07 15:49:15:767
5.9876,-5.2,-3.5481,0.4728,-0.5744,0.8532,0.0,44.621,104,2022-11-07 15:49:15:777
6.0355,-5.2479,-3.481,0.4728,-0.5744,0.8532,0.0,44.621,114,2022-11-07 15:49:15:787
6.0355,-5.2479,-3.481,0.3965,-0.5977,0.9411,0.0,44.621,124,2022-11-07 15:49:15:797
6.3898,-5.6932,-3.6989,0.2511,-0.6752,1.0028,0.0,44.621,134,2022-11-07 15:49:15:807
6.6053,-6.1121,-3.4068,0.1503,-0.6984,1.0248,0.0,44.621,145,2022-11-07 15:49:15:818
6.3563,-6.4569,-3.2392,0.1332,-0.6905,1.0835,0.0,44.621,154,2022-11-07 15:49:15:827
6.1696,-6.7585,-3.1961,0.198,-0.671,1.172,0.0,44.621,164,2022-11-07 15:49:15:837
6.1696,-6.7585,-3.1961,0.198,-0.671,1.172,0.0,44.621,173,2022-11-07 15:49:15:846
6.2534,-6.974,-3.3972,0.2975,-0.7119,1.2679,0.0,44.621,184,2022-11-07 15:49:15:857
6.5526,-7.2206,-4.204,0.4441,-0.9116,1.3681,0.0,44.621,194,2022-11-07 15:49:15:867
6.6867,-7.5725,-4.805,0.5865,-1.2342,1.4677,0.0,44.621,203,2022-11-07 15:49:15:876
7.1631,-7.958,-5.3077,0.7612,-1.6905,1.6332,0.0,44.621,214,2022-11-07 15:49:15:887
7.1631,-7.958,-5.3077,0.8797,-2.0564,1.7181,0.0,44.621,224,2022-11-07 15:49:15:897
7.472,-8.4991,-5.4011,0.9096,-2.1908,1.6998,0.0,44.621,233,2022-11-07 15:49:15:906
7.7545,-8.6283,-5.8512,0.8491,-2.3227,1.5398,0.0,44.621,245,2022-11-07 15:49:15:918
7.4169,-8.7361,-5.516,0.7166,-2.3197,1.2789,0.0,44.621,254,2022-11-07 15:49:15:927
7.2134,-8.6116,-5.1353,0.7166,-2.3197,1.2789,0.0,44.621,264,2022-11-07 15:49:15:937
7.2134,-8.6116,-5.1353,0.614,-2.1945,1.0315,0.0,46.11,274,2022-11-07 15:49:15:947
6.4569,-8.6355,-3.8593,0.5339,-1.966,0.7933,0.0,46.11,283,2022-11-07 15:49:15:956
6.5598,-9.0353,-2.2289,0.4802,-1.5353,0.3248,0.0,46.11,294,2022-11-07 15:49:15:967
6.5598,-9.0353,-2.2289,0.49,-1.2079,0.0114,0.0,46.11,304,2022-11-07 15:49:15:977
7.2876,-9.8397,-1.0989,0.5009,-0.2745,-0.7895,0.0,46.11,314,2022-11-07 15:49:15:987
8.2812,-10.7136,-0.1748,0.6091,0.7646,-1.6569,0.0,46.11,323,2022-11-07 15:49:15:996
9.3059,-11.0464,0.3854,0.7172,1.7084,-2.5011,0.0,46.11,334,2022-11-07 15:49:16:007
10.637,-11.1637,0.7254,0.9072,2.5544,-3.4027,0.0,46.11,347,2022-11-07 15:49:16:020
10.637,-11.1637,0.7254,0.9072,2.5544,-3.4027,0.0,46.11,353,2022-11-07 15:49:16:026
10.5676,-11.2547,0.8954,1.3873,3.453,-4.4253,0.0,46.11,364,2022-11-07 15:49:16:037
9.6482,-12.0088,0.8044,1.8949,3.7804,-4.6843,0.0,46.11,374,2022-11-07 15:49:16:047
8.9156,-12.9976,1.051,2.2993,3.8727,-4.3832,0.0,46.11,384,2022-11-07 15:49:16:057
8.9156,-12.9976,1.051,2.5925,3.9985,-3.4204,0.0,46.11,395,2022-11-07 15:49:16:068
8.4416,-13.62,1.2449,2.4007,4.197,-2.0924,0.0,46.11,404,2022-11-07 15:49:16:077
8.4464,-11.9513,-0.4142,1.9817,4.0486,-1.1767,0.0,46.11,414,2022-11-07 15:49:16:087
8.4464,-11.9513,-0.4142,1.5626,3.4053,-0.7589,0.0,46.11,424,2022-11-07 15:49:16:097
8.8941,-9.7919,-1.154,1.2743,2.4573,-0.7632,0.0,46.11,434,2022-11-07 15:49:16:107
8.8007,-8.195,-1.1228,1.2743,2.4573,-0.7632,0.0,46.11,445,2022-11-07 15:49:16:118
8.274,-7.4313,-0.5937,1.0477,1.2502,-1.0637,0.0,46.11,454,2022-11-07 15:49:16:127
6.0236,-7.7617,-0.3687,0.8736,0.3828,-1.4193,0.0,46.11,466,2022-11-07 15:49:16:139
6.0236,-7.7617,-0.3687,-0.0177,1.3534,-1.0595,0.0,46.11,474,2022-11-07 15:49:16:147
-2.4875,-10.0097,-6.6628,-1.9413,4.0614,-0.1035,0.0,46.11,484,2022-11-07 15:49:16:157
10.6968,-7.3307,-3.4523,-2.722,4.1219,-0.5598,0.0,46.11,495,2022-11-07 15:49:16:168
10.6968,-7.3307,-3.4523,-1.992,2.2533,-1.6025,0.0,46.11,504,2022-11-07 15:49:16:177
