ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),PROXIMITY (m),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
5.0659,-11.281,1.2521,-0.937,-1.5482,0.3156,0.0,39.874,12,2022-11-07 15:53:06:132
4.4363,-10.5221,1.5059,-0.9358,-1.1615,0.2454,0.0,39.874,23,2022-11-07 15:53:06:143
3.9359,-9.9403,1.4915,-0.8741,-0.6319,0.2319,0.0,39.874,33,2022-11-07 15:53:06:153
3.9359,-9.9403,1.4915,-0.8741,-0.6319,0.2319,0.0,39.874,42,2022-11-07 15:53:06:162
3.5121,-9.4806,1.3814,-0.7605,-0.0772,0.2954,0.0,39.874,53,2022-11-07 15:53:06:173
3.3134,-9.0784,1.4293,-0.6774,0.2728,0.3516,0.0,47.633,63,2022-11-07 15:53:06:183
2.9998,-8.4823,1.4436,-0.5119,0.921,0.4616,0.0,47.633,73,2022-11-07 15:53:06:193
2.9998,-8.4823,1.4436,-0.3763,1.4555,0.563,0.0,47.633,82,2022-11-07 15:53:06:202
2.7412,-8.0226,1.312,-0.2174,2.1018,0.7114,0.0,47.633,93,2022-11-07 15:53:06:213
2.7173,-7.697,1.1492,-0.094,2.7163,0.8538,0.0,47.633,103,2022-11-07 15:53:06:223
2.8083,-7.5199,0.8906,-0.0366,3.0394,0.9283,0.0,47.633,113,2022-11-07 15:53:06:233
2.8083,-7.5199,0.8906,0.0129,3.5483,0.9949,0.0,47.633,123,2022-11-07 15:53:06:243
3.2225,-7.2134,0.4166,0.0104,3.7713,0.9564,0.0,47.633,133,2022-11-07 15:53:06:253
3.5457,-7.3235,0.1724,0.0013,3.8537,0.9179,0.0,47.633,143,2022-11-07 15:53:06:263
3.5457,-7.3235,0.1724,0.0013,3.8537,0.9179,0.0,47.633,153,2022-11-07 15:53:06:273
3.7252,-7.9053,-0.1987,-0.0604,3.9545,0.7554,0.0,47.633,163,2022-11-07 15:53:06:283
3.6366,-8.2884,-0.4381,-0.1325,3.8629,0.6876,0.0,47.633,175,2022-11-07 15:53:06:295
3.4068,-8.1854,-0.6632,-0.2052,3.7096,0.6876,0.0,47.633,183,2022-11-07 15:53:06:303
3.2249,-7.6922,-0.7805,-0.3146,3.4243,0.7316,0.0,47.633,193,2022-11-07 15:53:06:313
3.2249,-7.6922,-0.7805,-0.4251,3.0431,0.7884,0.0,47.633,203,2022-11-07 15:53:06:323
3.0214,-7.1488,-0.8858,-0.5131,2.7035,0.8361,0.0,47.633,213,2022-11-07 15:53:06:333
2.8993,-6.658,-0.8691,-0.5943,2.3485,0.8837,0.0,47.633,223,2022-11-07 15:53:06:343
2.8993,-6.658,-0.8691,-0.5943,2.3485,0.8837,0.0,47.633,233,2022-11-07 15:53:06:353
2.8633,-6.2821,-0.8308,-0.6884,1.7878,0.9234,0.0,47.633,243,2022-11-07 15:53:06:363
2.9256,-6.1313,-0.7302,-0.7354,1.4176,0.9252,0.0,47.633,253,2022-11-07 15:53:06:373
3.0333,-5.9685,-0.6632,-0.7593,1.0523,0.913,0.0,47.633,263,2022-11-07 15:53:06:383
3.0333,-5.9685,-0.6632,-0.7648,0.6112,0.8666,0.0,47.633,273,2022-11-07 15:53:06:393
3.0836,-5.7554,-0.4668,-0.7348,0.2875,0.8122,0.0,47.633,283,2022-11-07 15:53:06:403
3.2272,-5.7626,-0.2155,-0.6658,-0.0601,0.7408,0.0,47.633,293,2022-11-07 15:53:06:413
3.2272,-5.7626,-0.2155,-0.5681,-0.3655,0.6693,0.0,47.633,303,2022-11-07 15:53:06:423
3.6055,-6.3563,-0.0072,-0.4972,-0.5463,0.6223,0.0,47.633,313,2022-11-07 15:53:06:433
4.1681,-7.3738,0.1365,-0.3543,-0.8463,0.527,0.0,47.633,324,2022-11-07 15:53:06:444
4.1681,-7.3738,0.1365,-0.1954,-1.1261,0.4213,0.0,47.633,333,2022-11-07 15:53:06:453
4.5272,-8.0729,0.3208,-0.0623,-1.327,0.3235,0.0,47.633,343,2022-11-07 15:53:06:463
4.781,-8.5541,0.5028,0.0752,-1.4944,0.2142,0.0,47.633,353,2022-11-07 15:53:06:473
4.8887,-8.7289,0.6153,0.2114,-1.6263,0.0877,0.0,47.633,362,2022-11-07 15:53:06:482
4.8887,-8.7289,0.6153,0.2114,-1.6263,0.0877,0.0,47.633,374,2022-11-07 15:53:06:494
4.7188,-8.5541,0.7063,0.3397,-1.7149,-0.054,0.0,42.247,383,2022-11-07 15:53:06:503
4.0867,-8.049,0.6632,0.5107,-1.776,-0.2549,0.0,42.247,393,2022-11-07 15:53:06:513
4.0867,-8.049,0.6632,0.6176,-1.7766,-0.3869,0.0,42.247,403,2022-11-07 15:53:06:523
3.7037,-7.6946,0.6177,0.6732,-1.7369,-0.481,0.0,42.247,412,2022-11-07 15:53:06:532
3.5457,-7.6827,0.6129,0.7086,-1.6734,-0.5732,0.0,42.247,424,2022-11-07 15:53:06:544
3.8665,-7.6707,0.4094,0.7264,-1.6276,-0.7455,0.0,42.247,433,2022-11-07 15:53:06:553
3.9024,-8.1926,0.3184,0.708,-1.5995,-0.9214,0.0,42.247,443,2022-11-07 15:53:06:563
3.9024,-8.1926,0.3184,0.6598,-1.5756,-1.1126,0.0,42.247,453,2022-11-07 15:53:06:573
3.9503,-8.7385,0.3112,0.5956,-1.5506,-1.2268,0.0,42.247,462,2022-11-07 15:53:06:582
3.8928,-9.2795,0.2681,0.5956,-1.5506,-1.2268,0.0,42.247,473,2022-11-07 15:53:06:593
3.8449,-9.4878,0.3017,0.5016,-1.5286,-1.3215,0.0,42.247,483,2022-11-07 15:53:06:603
3.8449,-9.4878,0.3017,0.3898,-1.4895,-1.3814,0.0,42.247,493,2022-11-07 15:53:06:613
3.8593,-9.6698,0.3926,0.2664,-1.4223,-1.4156,0.0,42.247,503,2022-11-07 15:53:06:623
3.9287,-9.7775,0.4381,0.1925,-1.3667,-1.4309,0.0,42.247,513,2022-11-07 15:53:06:633
3.9287,-10.0073,0.5363,0.0776,-1.2543,-1.4437,0.0,42.247,524,2022-11-07 15:53:06:644
3.9287,-10.3449,0.6225,0.0116,-1.1774,-1.4412,0.0,42.247,533,2022-11-07 15:53:06:653
3.9072,-10.3449,0.6225,-0.0983,-1.0179,-1.4144,0.0,42.247,543,2022-11-07 15:53:06:663
3.7468,-10.6106,0.7158,-0.2138,-0.7998,-1.3356,0.0,42.247,553,2022-11-07 15:53:06:673
