ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),PROXIMITY (m),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
6.3013,-6.9429,1.7501,-0.7666,2.3376,-1.4333,0.0,42.863,14,2022-11-07 15:50:15:424
6.3013,-6.9429,1.7501,-0.5626,2.3247,-1.294,0.0,42.863,23,2022-11-07 15:50:15:433
6.0834,-6.3563,1.4317,-0.4013,2.2771,-1.1511,0.0,44.136,33,2022-11-07 15:50:15:443
5.7794,-5.9709,1.3431,-0.2675,2.2068,-0.9794,0.0,44.136,42,2022-11-07 15:50:15:452
5.4801,-5.8871,1.3503,-0.2101,2.147,-0.8237,0.0,44.136,53,2022-11-07 15:50:15:463
5.4801,-5.8871,1.3503,-0.2101,2.147,-0.8237,0.0,44.136,63,2022-11-07 15:50:15:473
4.9989,-5.8129,1.3144,-0.1954,2.0871,-0.5848,0.0,44.136,73,2022-11-07 15:50:15:483
4.8792,-5.7123,1.312,-0.2229,1.9704,-0.2342,0.0,44.136,83,2022-11-07 15:50:15:493
4.8792,-5.7123,1.312,-0.2755,1.8666,0.0218,0.0,44.136,93,2022-11-07 15:50:15:503
4.8624,-5.5687,1.3311,-0.3249,1.7804,0.1855,0.0,44.136,103,2022-11-07 15:50:15:513
5.0468,-5.5711,1.3191,-0.372,1.643,0.3125,0.0,44.136,116,2022-11-07 15:50:15:526
5.2191,-5.6429,1.4867,-0.4025,1.486,0.4054,0.0,44.136,123,2022-11-07 15:50:15:533
5.3077,-5.5567,1.6136,-0.4263,1.3583,0.4787,0.0,44.136,135,2022-11-07 15:50:15:545
5.3077,-5.5567,1.6136,-0.4355,1.2258,0.5416,0.0,44.136,143,2022-11-07 15:50:15:553
5.4466,-5.5495,1.8698,-0.4318,1.1726,0.5758,0.0,44.136,153,2022-11-07 15:50:15:563
5.5184,-5.4873,1.9799,-0.4227,1.1494,0.607,0.0,44.136,163,2022-11-07 15:50:15:573
5.4562,-5.3532,1.9679,-0.4099,1.1335,0.6461,0.0,44.136,173,2022-11-07 15:50:15:583
5.4562,-5.3532,1.9679,-0.3934,1.1054,0.6815,0.0,44.136,183,2022-11-07 15:50:15:593
5.4729,-5.2814,1.8985,-0.3811,1.0621,0.723,0.0,44.136,194,2022-11-07 15:50:15:604
5.4633,-5.1856,1.8195,-0.3818,1.0193,0.7713,0.0,44.136,204,2022-11-07 15:50:15:614
5.5256,-5.1473,1.7549,-0.3873,0.9704,0.8128,0.0,44.136,213,2022-11-07 15:50:15:623
