ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),PROXIMITY (m),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
11.3097,-3.3733,-3.493,1.143,-1.2989,1.1855,0.0,45.598,9,2022-11-07 15:50:06:714
10.8429,-3.0908,-3.9766,1.2853,-1.2018,1.1256,0.0,45.598,18,2022-11-07 15:50:06:723
11.0583,-3.4283,-4.4411,1.3024,-0.9727,0.9631,0.0,45.598,29,2022-11-07 15:50:06:734
10.941,-4.1753,-4.8696,1.2254,-0.5793,0.6998,0.0,45.598,41,2022-11-07 15:50:06:746
10.941,-4.1753,-4.8696,1.0006,0.0615,0.3419,0.0,45.598,49,2022-11-07 15:50:06:754
9.5764,-5.3245,-5.1713,0.7893,0.6131,0.1843,0.0,45.598,59,2022-11-07 15:50:06:764
7.5342,-6.7274,-4.5823,0.6506,1.0877,0.1867,0.0,45.598,69,2022-11-07 15:50:06:774
7.5342,-6.7274,-4.5823,0.6176,1.3877,0.2838,0.0,45.598,79,2022-11-07 15:50:06:784
6.67,-7.8838,-4.0341,0.6378,1.5422,0.3687,0.0,45.598,90,2022-11-07 15:50:06:795
6.8184,-8.6595,-3.7348,0.7086,1.5911,0.3584,0.0,45.598,99,2022-11-07 15:50:06:804
7.5103,-8.9132,-3.2608,0.7086,1.5911,0.3584,0.0,45.598,109,2022-11-07 15:50:06:814
8.7002,-8.8462,-2.4468,0.7795,1.5782,0.2881,0.0,45.598,121,2022-11-07 15:50:06:826
8.7002,-8.8462,-2.4468,0.9964,1.5263,0.078,0.0,45.598,128,2022-11-07 15:50:06:833
9.7129,-8.6068,-1.9129,1.2511,1.3913,-0.1083,0.0,45.598,141,2022-11-07 15:50:06:846
10.5292,-8.5493,-1.4341,1.4307,1.2716,-0.2067,0.0,45.598,149,2022-11-07 15:50:06:854
10.7064,-8.6954,-0.5794,1.7489,1.0718,-0.2476,0.0,45.598,159,2022-11-07 15:50:06:864
10.7064,-8.6954,-0.5794,2.1118,0.8507,4.0E-4,0.0,45.598,169,2022-11-07 15:50:06:874
10.3257,-9.3346,-0.2155,2.3232,0.6809,0.3107,0.0,45.598,179,2022-11-07 15:50:06:884
9.8086,-9.428,-0.0527,2.3232,0.6809,0.3107,0.0,45.598,190,2022-11-07 15:50:06:895
9.7081,-8.59,-0.2298,2.4588,0.5673,0.6662,0.0,45.598,199,2022-11-07 15:50:06:904
9.7081,-8.59,-0.2298,2.4936,0.4988,0.9869,0.0,45.598,209,2022-11-07 15:50:06:914
9.1646,-8.377,-0.6464,2.405,0.4646,1.1244,0.0,45.598,219,2022-11-07 15:50:06:924
