ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),PROXIMITY (m),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
3.7061,-6.3875,-2.0039,1.3446,4.588,0.4701,0.0,48.398,16,2022-11-07 15:53:01:056
3.505,-6.1983,-2.3031,1.1405,4.0736,0.4023,0.0,48.398,25,2022-11-07 15:53:01:065
3.3565,-5.9805,-2.3797,0.8436,3.3082,0.2918,0.0,48.398,36,2022-11-07 15:53:01:076
3.3493,-5.9565,-2.5473,0.5229,2.4139,0.1152,0.0,48.398,46,2022-11-07 15:53:01:086
3.4044,-6.3539,-2.3893,0.3299,1.844,-0.013,0.0,48.398,56,2022-11-07 15:53:01:096
3.4044,-6.3539,-2.3893,0.0233,0.8806,-0.2476,0.0,48.398,66,2022-11-07 15:53:01:106
3.4068,-7.0865,-2.0254,-0.2492,-0.0161,-0.448,0.0,48.398,75,2022-11-07 15:53:01:115
3.3805,-7.7234,-1.5131,-0.4117,-0.6154,-0.5628,0.0,48.398,86,2022-11-07 15:53:01:126
3.3805,-7.7234,-1.5131,-0.4117,-0.6154,-0.5628,0.0,48.398,96,2022-11-07 15:53:01:136
3.5121,-8.2956,-0.7446,-0.5442,-1.1939,-0.6764,0.0,48.398,106,2022-11-07 15:53:01:146
3.5385,-8.6403,-0.0862,-0.5986,-1.6202,-0.7638,0.0,48.398,118,2022-11-07 15:53:01:158
3.6869,-8.8845,0.4022,-0.5577,-1.743,-0.8218,0.0,48.398,126,2022-11-07 15:53:01:166
3.7755,-9.0641,0.6919,-0.4569,-1.7436,-0.8915,0.0,48.398,136,2022-11-07 15:53:01:176
3.7755,-9.0641,0.6919,-0.2712,-1.5982,-1.0045,0.0,48.398,146,2022-11-07 15:53:01:186
3.6654,-9.2867,0.9672,-0.0818,-1.4003,-1.0845,0.0,48.398,156,2022-11-07 15:53:01:196
3.5576,-9.0593,0.9552,0.121,-1.1645,-1.1572,0.0,48.398,166,2022-11-07 15:53:01:206
3.2871,-9.0018,0.9169,0.3556,-0.8689,-1.2788,0.0,48.398,175,2022-11-07 15:53:01:215
3.2871,-9.0018,0.9169,0.5229,-0.6539,-1.3172,0.0,48.398,186,2022-11-07 15:53:01:226
3.2512,-9.0162,0.6919,0.5229,-0.6539,-1.3172,0.0,48.398,195,2022-11-07 15:53:01:235
3.3781,-9.1598,0.4549,0.6812,-0.4608,-1.3924,0.0,48.398,206,2022-11-07 15:53:01:246
3.5528,-9.6195,0.1772,0.7557,-0.3203,-1.5231,0.0,48.398,215,2022-11-07 15:53:01:255
3.5528,-9.6195,0.1772,0.763,-0.3014,-1.6092,0.0,48.398,226,2022-11-07 15:53:01:266
3.6127,-10.0552,-0.0215,0.7355,-0.3368,-1.6838,0.0,48.398,236,2022-11-07 15:53:01:276
3.6342,-10.3784,-0.1197,0.6427,-0.4712,-1.7558,0.0,47.418,246,2022-11-07 15:53:01:286
3.5864,-10.5723,-0.1293,0.5987,-0.5268,-1.7644,0.0,47.418,256,2022-11-07 15:53:01:296
3.5864,-10.5723,-0.1293,0.4527,-0.6587,-1.7345,0.0,47.418,266,2022-11-07 15:53:01:306
3.2536,-10.7974,-0.0455,0.2419,-0.7577,-1.5995,0.0,47.418,276,2022-11-07 15:53:01:316
2.9998,-10.8165,0.0742,0.2419,-0.7577,-1.5995,0.0,47.418,286,2022-11-07 15:53:01:326
2.7532,-10.6322,0.1604,-0.0556,-0.7754,-1.3014,0.0,47.418,297,2022-11-07 15:53:01:337
2.6239,-10.4287,0.2897,-0.0556,-0.7754,-1.3014,0.0,47.418,306,2022-11-07 15:53:01:346
2.6239,-10.4287,0.2897,-0.2125,-0.74,-1.1065,0.0,47.418,316,2022-11-07 15:53:01:356
2.5545,-10.2013,0.4501,-0.3084,-0.6789,-0.9672,0.0,47.418,326,2022-11-07 15:53:01:366
2.5377,-9.914,0.6368,-0.3714,-0.5805,-0.8426,0.0,47.418,335,2022-11-07 15:53:01:375
2.5761,-9.586,0.7254,-0.3763,-0.4877,-0.7693,0.0,47.418,346,2022-11-07 15:53:01:386
2.5761,-9.586,0.7254,-0.3433,-0.4242,-0.7528,0.0,47.418,356,2022-11-07 15:53:01:396
2.5665,-9.3106,0.7565,-0.2785,-0.3338,-0.7614,0.0,47.418,366,2022-11-07 15:53:01:406
2.4444,-9.1718,0.7948,-0.2785,-0.3338,-0.7614,0.0,47.418,376,2022-11-07 15:53:01:416
2.2098,-9.2053,0.7254,-0.1435,-0.178,-0.7155,0.0,47.418,386,2022-11-07 15:53:01:426
1.9967,-9.258,0.6512,-0.0922,-0.1157,-0.6349,0.0,47.418,396,2022-11-07 15:53:01:436
1.9967,-9.258,0.6512,-0.058,-0.0576,-0.5249,0.0,47.418,405,2022-11-07 15:53:01:445
1.8554,-9.4064,0.553,-0.0354,-0.0192,-0.4028,0.0,47.418,419,2022-11-07 15:53:01:459
1.9344,-9.6315,0.4525,-0.0281,0.0022,-0.2782,0.0,47.418,425,2022-11-07 15:53:01:465
2.2457,-9.8254,0.3615,-0.0281,0.0022,-0.2782,0.0,47.418,436,2022-11-07 15:53:01:476
2.2457,-9.8254,0.3615,-0.047,0.0028,-0.1627,0.0,47.418,447,2022-11-07 15:53:01:487
2.4635,-9.7943,0.3232,-0.0641,-0.0027,-0.1114,0.0,47.418,455,2022-11-07 15:53:01:495
2.6239,-9.2484,0.2538,-0.1172,-0.0375,-0.0338,0.0,47.418,467,2022-11-07 15:53:01:507
2.6239,-9.2484,0.2538,-0.1478,-0.0613,0.0181,0.0,47.418,476,2022-11-07 15:53:01:516
2.77,-8.8917,0.3064,-0.1728,-0.0784,0.0694,0.0,47.418,486,2022-11-07 15:53:01:526
2.9304,-8.8438,0.3711,-0.1936,-0.0833,0.1244,0.0,47.418,496,2022-11-07 15:53:01:536
