ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),PROXIMITY (m),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
11.5731,-1.3886,-0.7158,1.3562,-3.5353,3.4561,0.0,43.687,14,2022-11-07 15:50:02:459
15.2097,-2.4516,-3.2536,1.325,-3.7894,3.1751,0.0,43.687,24,2022-11-07 15:50:02:469
18.3508,-4.7451,-6.3563,0.6445,-3.291,2.4457,0.0,43.687,34,2022-11-07 15:50:02:479
18.4657,-5.7506,-6.8854,-0.8381,-1.6599,1.2087,0.0,43.687,43,2022-11-07 15:50:02:488
12.6744,-7.4217,-3.4379,-1.8362,-0.255,0.5483,0.0,43.687,54,2022-11-07 15:50:02:499
12.6744,-7.4217,-3.4379,-2.2247,0.8214,0.6045,0.0,43.687,64,2022-11-07 15:50:02:509
9.495,-7.539,-2.4037,-1.9926,1.0254,1.1433,0.0,43.687,74,2022-11-07 15:50:02:519
9.1407,-7.5534,-2.6574,-1.8381,1.1836,1.3614,0.0,43.687,84,2022-11-07 15:50:02:529
9.4208,-7.8191,-2.6048,-1.7397,1.4713,1.2692,0.0,43.687,94,2022-11-07 15:50:02:539
9.3107,-7.7641,-2.2385,-1.5974,1.946,0.9882,0.0,43.687,104,2022-11-07 15:50:02:549
9.2293,-7.4217,-1.2761,-1.3885,2.4512,0.7591,0.0,43.687,116,2022-11-07 15:50:02:561
9.2293,-7.4217,-1.2761,-1.3885,2.4512,0.7591,0.0,43.687,124,2022-11-07 15:50:02:569
9.2819,-7.1991,-0.8236,-0.9798,3.0504,0.4854,0.0,43.687,134,2022-11-07 15:50:02:579
9.3657,-7.551,-0.5722,-0.4661,3.4304,0.2869,0.0,43.687,145,2022-11-07 15:50:02:590
9.6865,-8.1016,-0.9074,-0.1307,3.5672,0.1959,0.0,43.687,153,2022-11-07 15:50:02:598
9.9211,-8.7169,-1.5993,0.4429,3.6075,0.0401,0.0,43.687,164,2022-11-07 15:50:02:609
9.9211,-8.7169,-1.5993,0.7563,3.2661,-0.0192,0.0,43.687,173,2022-11-07 15:50:02:618
9.5309,-9.3897,-3.3493,0.8705,2.6375,0.0089,0.0,43.687,184,2022-11-07 15:50:02:629
9.5309,-9.3897,-3.3493,0.8705,2.6375,0.0089,0.0,43.687,193,2022-11-07 15:50:02:638
9.6171,-9.2197,-2.8083,0.9701,1.8635,0.0468,0.0,43.687,204,2022-11-07 15:50:02:649
9.4567,-8.6211,-1.1875,1.1692,0.9601,0.1024,0.0,43.687,214,2022-11-07 15:50:02:659
9.1407,-7.9795,-0.1365,1.6708,-0.0662,0.2289,0.0,43.687,224,2022-11-07 15:50:02:669
8.5637,-7.6228,-0.0503,1.6708,-0.0662,0.2289,0.0,43.687,234,2022-11-07 15:50:02:679
8.5637,-7.6228,-0.0503,1.9597,-0.5586,0.37,0.0,43.687,244,2022-11-07 15:50:02:689
8.2046,-7.3355,0.0479,2.157,-0.8646,0.4928,0.0,43.687,254,2022-11-07 15:50:02:699
7.9364,-7.0458,0.2274,2.3653,-1.1034,0.6308,0.0,43.687,268,2022-11-07 15:50:02:713
7.9652,-6.634,0.3807,2.4985,-1.1792,0.7432,0.0,43.687,274,2022-11-07 15:50:02:719
7.5893,-6.8735,0.4764,2.5962,-1.1902,0.7854,0.0,43.687,283,2022-11-07 15:50:02:728
7.5893,-6.8735,0.4764,2.6732,-1.0552,0.9277,0.0,43.687,295,2022-11-07 15:50:02:740
7.2469,-6.9573,0.3998,2.6597,-0.8762,1.1042,0.0,43.687,304,2022-11-07 15:50:02:749
7.0482,-7.1751,0.1915,2.5064,-0.5372,1.4335,0.0,50.346,314,2022-11-07 15:50:02:759
6.7609,-7.2086,-0.067,2.3195,-0.3063,1.6595,0.0,50.346,324,2022-11-07 15:50:02:769
6.7609,-7.2086,-0.067,2.0018,-0.0412,1.8843,0.0,50.346,334,2022-11-07 15:50:02:779
6.8806,-7.0506,-0.3352,2.0018,-0.0412,1.8843,0.0,50.346,344,2022-11-07 15:50:02:789
7.1584,-6.4401,-0.4956,1.7954,0.0786,1.9503,0.0,50.346,354,2022-11-07 15:50:02:799
7.4624,-5.8895,-0.4357,1.3873,0.1299,1.9613,0.0,50.346,364,2022-11-07 15:50:02:809
7.4624,-5.8895,-0.4357,1.1766,0.0077,1.8916,0.0,50.346,374,2022-11-07 15:50:02:819
7.4169,-5.5471,-0.2394,1.008,-0.1707,1.8202,0.0,50.346,383,2022-11-07 15:50:02:828
7.3188,-5.3652,0.079,0.8412,-0.3784,1.7737,0.0,50.346,393,2022-11-07 15:50:02:838
7.1823,-5.1377,0.4285,0.7392,-0.4846,1.756,0.0,50.346,404,2022-11-07 15:50:02:849
7.1823,-5.1377,0.4285,0.6463,-0.4865,1.7432,0.0,50.346,414,2022-11-07 15:50:02:859
7.2589,-4.8816,0.7853,0.5541,-0.39,1.7078,0.0,50.346,424,2022-11-07 15:50:02:869
7.4624,-4.7954,0.8762,0.4796,-0.2715,1.654,0.0,50.346,435,2022-11-07 15:50:02:880
7.4624,-4.7954,0.8762,0.4038,-0.1114,1.5636,0.0,50.346,444,2022-11-07 15:50:02:889
7.6013,-4.769,0.984,0.3543,-0.0106,1.5007,0.0,50.346,454,2022-11-07 15:50:02:899
7.6084,-4.7092,0.9912,0.2725,0.15,1.3956,0.0,50.346,465,2022-11-07 15:50:02:910
7.6276,-4.5177,1.0821,0.1692,0.3467,1.2472,0.0,50.346,474,2022-11-07 15:50:02:919
