ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),PROXIMITY (m),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
3.1794,-5.6022,-1.6854,-0.3824,0.0511,0.8141,0.0,46.422,21,2022-11-07 15:53:44:655
3.2536,-5.4849,-1.4963,-0.4477,-0.4376,0.7609,0.0,46.422,31,2022-11-07 15:53:44:665
3.2536,-5.4849,-1.4963,-0.5302,-1.0399,0.6577,0.0,46.422,40,2022-11-07 15:53:44:674
3.4212,-5.5759,-1.2425,-0.6169,-1.6758,0.4659,0.0,46.422,51,2022-11-07 15:53:44:685
3.5265,-5.9589,-0.6129,-0.6463,-2.0643,0.293,0.0,46.422,60,2022-11-07 15:53:44:694
3.7492,-6.2342,-0.5315,-0.6463,-2.0643,0.293,0.0,46.422,71,2022-11-07 15:53:44:705
3.8186,-6.7418,-0.3591,-0.6774,-2.3618,0.1158,0.0,46.422,80,2022-11-07 15:53:44:714
4.0867,-7.7162,-0.1796,-0.6835,-2.5475,-0.0137,0.0,46.422,91,2022-11-07 15:53:44:725
4.4482,-8.7744,0.0527,-0.6566,-2.7522,-0.2183,0.0,46.422,102,2022-11-07 15:53:44:736
4.4482,-8.7744,0.0527,-0.6566,-2.7522,-0.2183,0.0,46.422,111,2022-11-07 15:53:44:745
4.7044,-9.732,0.3759,-0.5956,-2.7167,-0.294,0.0,46.422,121,2022-11-07 15:53:44:755
4.7954,-10.3664,0.6943,-0.5015,-2.5793,-0.3166,0.0,46.422,130,2022-11-07 15:53:44:764
4.7212,-10.5484,0.9744,-0.3665,-2.3478,-0.3026,0.0,46.422,141,2022-11-07 15:53:44:775
4.7212,-10.5484,0.9744,-0.1539,-1.9348,-0.2556,0.0,46.422,150,2022-11-07 15:53:44:784
4.3453,-10.613,1.2808,0.0452,-1.5243,-0.1823,0.0,46.422,161,2022-11-07 15:53:44:795
4.2854,-9.4327,1.0343,0.2163,-1.1438,-0.2067,0.0,46.422,171,2022-11-07 15:53:44:805
4.1514,-8.3865,0.644,0.3598,-0.7956,-0.36,0.0,46.422,180,2022-11-07 15:53:44:814
3.9311,-7.8598,0.3543,0.4099,-0.6471,-0.4651,0.0,46.422,191,2022-11-07 15:53:44:825
3.9311,-7.8598,0.3543,0.4313,-0.5134,-0.6221,0.0,46.422,201,2022-11-07 15:53:44:835
3.5289,-7.4169,-0.1221,0.3873,-0.4846,-0.7381,0.0,46.422,214,2022-11-07 15:53:44:848
3.3541,-7.3164,-0.3615,0.3287,-0.5011,-0.7974,0.0,46.422,221,2022-11-07 15:53:44:855
3.3541,-7.3164,-0.3615,0.1986,-0.5977,-0.8994,0.0,46.422,231,2022-11-07 15:53:44:865
3.4427,-7.2469,-0.5506,0.066,-0.6911,-1.0112,0.0,46.422,240,2022-11-07 15:53:44:874
3.5864,-7.4935,-0.6009,-0.0769,-0.795,-1.1334,0.0,46.422,251,2022-11-07 15:53:44:885
3.6917,-7.8718,-0.5387,-0.0769,-0.795,-1.1334,0.0,46.422,261,2022-11-07 15:53:44:895
3.6917,-7.8718,-0.5387,-0.2541,-0.9147,-1.2824,0.0,46.422,271,2022-11-07 15:53:44:905
3.8473,-8.3937,-0.4285,-0.3836,-0.9794,-1.3967,0.0,46.422,281,2022-11-07 15:53:44:915
4.0053,-8.9922,-0.2035,-0.5186,-1.01,-1.5164,0.0,46.422,290,2022-11-07 15:53:44:924
4.0053,-8.9922,-0.2035,-0.6139,-0.952,-1.6196,0.0,46.422,301,2022-11-07 15:53:44:935
4.2256,-9.7296,0.0622,-0.653,-0.8371,-1.6764,0.0,46.422,311,2022-11-07 15:53:44:945
4.2854,-10.3784,0.3519,-0.6548,-0.66,-1.7033,0.0,45.031,322,2022-11-07 15:53:44:956
4.1274,-10.6753,0.5435,-0.5907,-0.2867,-1.6508,0.0,45.031,331,2022-11-07 15:53:44:965
3.9144,-10.8572,0.6727,-0.5027,0.0059,-1.5536,0.0,45.031,341,2022-11-07 15:53:44:975
3.9144,-10.8572,0.6727,-0.5027,0.0059,-1.5536,0.0,45.031,353,2022-11-07 15:53:44:987
3.6462,-10.8596,0.7517,-0.3909,0.3223,-1.4138,0.0,45.031,363,2022-11-07 15:53:44:997
3.244,-10.3473,0.6895,-0.2046,0.8073,-1.1334,0.0,45.031,373,2022-11-07 15:53:45:007
3.244,-10.3473,0.6895,-0.0617,1.1757,-0.9434,0.0,45.031,381,2022-11-07 15:53:45:015
3.177,-9.3561,0.5099,-0.0617,1.1757,-0.9434,0.0,45.031,392,2022-11-07 15:53:45:026
3.2225,-8.5757,0.4932,0.0416,1.4494,-0.8774,0.0,45.031,401,2022-11-07 15:53:45:035
3.1004,-8.2596,0.3328,0.209,1.8434,-0.9128,0.0,45.031,411,2022-11-07 15:53:45:045
3.1004,-8.2142,-0.079,0.3885,2.2154,-1.0088,0.0,45.031,421,2022-11-07 15:53:45:055
2.8873,-8.2142,-0.079,0.3885,2.2154,-1.0088,0.0,45.031,431,2022-11-07 15:53:45:065
2.7173,-8.2309,-0.6249,0.3788,2.2484,-0.9904,0.0,45.031,441,2022-11-07 15:53:45:075
2.5042,-8.0777,-1.0702,0.259,2.1237,-0.9128,0.0,45.031,451,2022-11-07 15:53:45:085
2.4013,-7.7593,-1.2713,0.1112,1.9472,-0.8359,0.0,45.031,461,2022-11-07 15:53:45:095
2.4013,-7.7593,-1.2713,-0.0959,1.679,-0.732,0.0,45.031,471,2022-11-07 15:53:45:105
2.5114,-7.3595,-1.1635,-0.0959,1.679,-0.732,0.0,45.031,481,2022-11-07 15:53:45:115
2.6383,-7.1799,-0.9696,-0.2852,1.4304,-0.6581,0.0,45.031,491,2022-11-07 15:53:45:125
2.8729,-7.3283,-0.8188,-0.5369,1.0419,-0.5775,0.0,45.031,503,2022-11-07 15:53:45:137
2.8729,-7.3283,-0.8188,-0.5369,1.0419,-0.5775,0.0,45.031,510,2022-11-07 15:53:45:144
3.0453,-7.3427,-0.4525,-0.6829,0.7866,-0.4907,0.0,45.031,525,2022-11-07 15:53:45:159
3.0453,-7.3427,-0.4525,-0.6829,0.7866,-0.4907,0.0,45.031,530,2022-11-07 15:53:45:164
3.086,-6.8543,-0.2993,-0.7135,0.6894,-0.4315,0.0,45.031,541,2022-11-07 15:53:45:175
3.1602,-6.4425,-0.1317,-0.6988,0.621,-0.3887,0.0,45.031,551,2022-11-07 15:53:45:185
3.1602,-6.4425,-0.1317,-0.6664,0.588,-0.3447,0.0,45.031,561,2022-11-07 15:53:45:195
3.481,-6.816,-0.0622,-0.6023,0.5587,-0.2757,0.0,45.031,573,2022-11-07 15:53:45:207
4.0341,-7.6827,-0.1006,-0.5296,0.5221,-0.1914,0.0,45.031,581,2022-11-07 15:53:45:215
4.0341,-7.6827,-0.1006,-0.5296,0.5221,-0.1914,0.0,45.031,590,2022-11-07 15:53:45:224
4.6781,-8.4177,-0.1389,-0.4893,0.5013,-0.148,0.0,45.031,600,2022-11-07 15:53:45:234
5.3724,-8.8677,-0.2514,-0.4276,0.4237,-0.0766,0.0,45.031,611,2022-11-07 15:53:45:245
5.777,-8.4919,-0.3232,-0.2718,0.1592,0.0963,0.0,45.031,621,2022-11-07 15:53:45:255
5.777,-8.4919,-0.3232,-0.2718,0.1592,0.0963,0.0,45.031,631,2022-11-07 15:53:45:265
5.9493,-7.4816,-0.2873,-0.1808,-0.0283,0.1696,0.0,46.905,641,2022-11-07 15:53:45:275
6.0307,-6.8495,-0.2993,-0.0372,-0.3319,0.2722,0.0,46.905,651,2022-11-07 15:53:45:285
6.7011,-6.646,-0.3783,0.1069,-0.6508,0.3254,0.0,46.905,661,2022-11-07 15:53:45:295
8.1758,-6.986,-0.6919,0.27,-1.0656,0.3254,0.0,46.905,670,2022-11-07 15:53:45:304
15.5066,-7.12,-1.3263,0.4234,-1.5647,0.2661,0.0,46.905,681,2022-11-07 15:53:45:315
15.5066,-7.12,-1.3263,0.54,-1.9507,0.0841,0.0,46.905,690,2022-11-07 15:53:45:324
22.878,-7.5486,0.2777,0.6946,-1.7785,-0.1352,0.0,46.905,701,2022-11-07 15:53:45:335
23.1031,-8.6978,0.6967,0.8229,-1.3264,-0.1132,0.0,46.905,711,2022-11-07 15:53:45:345
16.1147,-7.8574,-0.1652,0.9194,-0.952,0.0474,0.0,46.905,721,2022-11-07 15:53:45:355
16.1147,-7.8574,-0.1652,0.9976,-0.6978,0.1488,0.0,46.905,731,2022-11-07 15:53:45:365
8.3817,-4.5512,-0.5387,1.0403,-0.5891,0.0456,0.0,46.905,741,2022-11-07 15:53:45:375
4.7092,-2.9759,-0.4692,1.0403,-0.5891,0.0456,0.0,46.905,752,2022-11-07 15:53:45:386
3.4331,-2.3606,-0.3376,1.0831,-0.4846,-0.2323,0.0,46.905,761,2022-11-07 15:53:45:395
3.3637,-2.6479,-0.261,1.0996,-0.3142,-0.9379,0.0,46.905,773,2022-11-07 15:53:45:407
3.3637,-2.6479,-0.261,1.0996,-0.3142,-0.9379,0.0,46.905,781,2022-11-07 15:53:45:415
4.5105,-4.3285,-0.5626,0.9304,-0.3026,-2.2415,0.0,46.905,792,2022-11-07 15:53:45:426
4.5105,-4.3285,-0.5626,0.9304,-0.3026,-2.2415,0.0,46.905,801,2022-11-07 15:53:45:435
6.3276,-7.6803,-1.0821,0.6842,-0.5036,-3.2323,0.0,46.905,811,2022-11-07 15:53:45:445
6.6125,-11.099,-1.2282,0.2707,-0.8457,-4.0637,0.0,46.905,821,2022-11-07 15:53:45:455
5.6501,-13.4285,-1.312,-0.168,-1.1346,-4.2812,0.0,46.905,831,2022-11-07 15:53:45:465
4.228,-15.2289,-1.0893,-0.6774,-1.393,-3.9452,0.0,46.905,840,2022-11-07 15:53:45:474
4.228,-15.2289,-1.0893,-1.372,-1.5494,-2.7088,0.0,46.905,851,2022-11-07 15:53:45:485
3.3278,-15.825,-0.8762,-1.8509,-1.553,-1.2989,0.0,46.905,860,2022-11-07 15:53:45:494
5.5208,-11.4366,-0.6129,-2.094,-1.6349,-0.2733,0.0,46.905,871,2022-11-07 15:53:45:505
7.2206,-8.6235,-0.3208,-2.0677,-1.7589,-0.3026,0.0,46.905,881,2022-11-07 15:53:45:515
7.2206,-8.6235,-0.3208,-2.0677,-1.7589,-0.3026,0.0,46.905,892,2022-11-07 15:53:45:526
7.2278,-7.2014,-0.0503,-1.9474,-1.7595,-0.528,0.0,46.905,900,2022-11-07 15:53:45:534
6.1241,-6.1935,0.6991,-1.5137,-1.4779,-0.6019,0.0,46.905,910,2022-11-07 15:53:45:544
6.1241,-6.1935,0.6991,-1.1429,-1.2372,-0.3985,0.0,46.905,921,2022-11-07 15:53:45:555
5.7554,-5.583,0.9169,-0.733,-0.9611,-0.1065,0.0,46.905,931,2022-11-07 15:53:45:565
6.4425,-5.2527,0.7158,-0.3121,-0.7327,0.1403,0.0,46.905,940,2022-11-07 15:53:45:574
7.1751,-5.1641,0.3831,0.179,-0.4975,0.3351,0.0,46.905,951,2022-11-07 15:53:45:585
8.0059,-5.3484,0.0814,0.5229,-0.3716,0.4023,0.0,50.906,961,2022-11-07 15:53:45:595
8.0059,-5.3484,0.0814,0.8345,-0.3032,0.4176,0.0,50.906,971,2022-11-07 15:53:45:605
9.2269,-5.935,-0.5171,1.1558,-0.3539,0.4127,0.0,50.906,981,2022-11-07 15:53:45:615
10.1965,-6.725,-0.9481,1.2596,-0.4236,0.4286,0.0,50.906,993,2022-11-07 15:53:45:627
12.988,-7.9005,-2.0086,1.4484,-0.7125,0.453,0.0,50.906,1008,2022-11-07 15:53:45:642
12.988,-7.9005,-2.0086,1.5193,-1.101,0.439,0.0,50.906,1011,2022-11-07 15:53:45:645
15.4994,-8.0322,-3.0884,1.5193,-1.101,0.439,0.0,50.906,1020,2022-11-07 15:53:45:654
16.2033,-7.8311,-3.9024,1.559,-1.8927,0.2954,0.0,50.906,1031,2022-11-07 15:53:45:665
16.2033,-7.8311,-3.9024,1.5761,-2.6239,0.1244,0.0,50.906,1040,2022-11-07 15:53:45:674
15.9782,-7.3092,-4.8576,1.5321,-3.3172,-0.134,0.0,50.906,1051,2022-11-07 15:53:45:685
14.0174,-6.8711,-4.4315,1.3384,-3.363,-0.4956,0.0,50.906,1061,2022-11-07 15:53:45:695
10.4646,-6.6412,-6.8352,0.5242,-1.9336,-0.6496,0.0,50.906,1071,2022-11-07 15:53:45:705
7.3547,-6.7992,-6.6628,-0.8112,0.7114,-0.5341,0.0,50.906,1081,2022-11-07 15:53:45:715
5.9733,-5.9086,-4.9342,-1.3817,1.5294,-0.3148,0.0,50.906,1091,2022-11-07 15:53:45:725
5.9733,-5.9086,-4.9342,-1.3817,1.5294,-0.3148,0.0,50.906,1100,2022-11-07 15:53:45:734
6.4234,-4.4961,-3.3709,-1.5485,1.4677,-0.1462,0.0,50.906,1111,2022-11-07 15:53:45:745
6.476,-3.6247,-2.4468,-1.4679,1.0126,-0.2311,0.0,50.906,1120,2022-11-07 15:53:45:754
6.476,-3.6247,-2.4468,-1.3488,0.574,-0.3551,0.0,50.906,1131,2022-11-07 15:53:45:765
6.2031,-3.3134,-2.3414,-1.2278,0.0737,-0.5066,0.0,50.906,1141,2022-11-07 15:53:45:775
5.7722,-4.0053,-1.2784,-0.9266,-0.7925,-0.7235,0.0,50.906,1156,2022-11-07 15:53:45:790
5.346,-4.0053,-1.2784,-0.9266,-0.7925,-0.7235,0.0,50.906,1160,2022-11-07 15:53:45:794
5.1258,-4.7786,-0.5052,-0.5632,-1.0491,-0.5891,0.0,50.906,1172,2022-11-07 15:53:45:806
5.1258,-5.0922,-0.1365,-0.2162,-0.9984,-0.3912,0.0,50.906,1181,2022-11-07 15:53:45:815
5.4346,-5.0922,-0.1365,-0.2162,-0.9984,-0.3912,0.0,50.906,1191,2022-11-07 15:53:45:825
