ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),PROXIMITY (m),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
7.4337,-4.4075,-2.3654,-0.1783,0.1403,0.2991,0.0,42.118,13,2022-11-07 15:53:36:653
7.5055,-4.3525,-2.1738,-0.102,0.0383,0.3901,0.0,42.118,23,2022-11-07 15:53:36:663
7.5055,-4.3525,-2.1738,-0.0281,0.001,0.4744,0.0,42.118,33,2022-11-07 15:53:36:673
7.2374,-4.2232,-1.6902,0.0287,0.1207,0.5361,0.0,42.118,43,2022-11-07 15:53:36:683
7.0267,-4.0388,-1.7381,0.1063,0.1788,0.6436,0.0,42.118,53,2022-11-07 15:53:36:693
6.8112,-3.7946,-1.8554,0.1729,0.0951,0.7438,0.0,42.118,63,2022-11-07 15:53:36:703
6.6293,-3.7372,-1.6735,0.2456,-0.0155,0.866,0.0,42.118,74,2022-11-07 15:53:36:714
6.6293,-3.7372,-1.6735,0.3427,-0.0186,0.9851,0.0,42.118,82,2022-11-07 15:53:36:722
6.6412,-3.8473,-1.1516,0.4399,0.0523,1.0468,0.0,42.118,93,2022-11-07 15:53:36:733
6.9237,-3.9263,-1.2497,0.5309,0.0181,1.1452,0.0,42.118,103,2022-11-07 15:53:36:743
7.3666,-4.453,-1.2761,0.5309,0.0181,1.1452,0.0,42.118,112,2022-11-07 15:53:36:752
7.9867,-4.9965,-1.0917,0.741,-0.2617,1.629,0.0,42.118,126,2022-11-07 15:53:36:766
7.9867,-4.9965,-1.0917,0.741,-0.2617,1.629,0.0,42.118,133,2022-11-07 15:53:36:773
9.4423,-6.0068,-0.3831,0.8626,-0.2715,1.8678,0.0,42.118,143,2022-11-07 15:53:36:783
9.4423,-6.0068,-0.3831,0.9878,-0.0601,1.9313,0.0,42.118,153,2022-11-07 15:53:36:793
11.6186,-7.4289,-0.6967,1.011,-0.043,1.9289,0.0,42.118,164,2022-11-07 15:53:36:804
12.3631,-8.7289,-0.7948,1.022,0.0413,1.8202,0.0,43.364,173,2022-11-07 15:53:36:813
12.2171,-9.7775,-1.1013,1.0006,0.1171,1.6583,0.0,43.364,182,2022-11-07 15:53:36:822
12.2171,-9.7775,-1.1013,0.975,0.1867,1.464,0.0,43.364,193,2022-11-07 15:53:36:833
11.8987,-10.2204,-1.4963,0.975,0.1867,1.464,0.0,43.364,203,2022-11-07 15:53:36:843
10.1486,-10.3736,-1.4628,0.9304,0.2887,1.2337,0.0,43.364,213,2022-11-07 15:53:36:853
7.958,-9.9714,-2.0063,0.9224,0.348,1.183,0.0,43.364,223,2022-11-07 15:53:36:863
7.958,-9.9714,-2.0063,0.9224,0.348,1.183,0.0,43.364,232,2022-11-07 15:53:36:872
6.6963,-9.5955,-2.612,0.8717,0.0883,1.3376,0.0,43.364,243,2022-11-07 15:53:36:883
6.0044,-9.4806,-2.8993,0.7551,-0.4022,1.5575,0.0,43.364,253,2022-11-07 15:53:36:893
5.9062,-9.5237,-3.1435,0.6133,-0.9184,1.7206,0.0,43.364,263,2022-11-07 15:53:36:903
5.9062,-9.5237,-3.1435,0.6133,-0.9184,1.7206,0.0,43.364,273,2022-11-07 15:53:36:913
6.2079,-9.8565,-3.1578,0.3867,-1.8316,1.833,0.0,43.364,283,2022-11-07 15:53:36:923
6.6604,-10.5053,-2.3319,0.2224,-2.5029,1.7768,0.0,43.364,293,2022-11-07 15:53:36:933
