ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),PROXIMITY (m),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
6.0236,-6.239,-2.9783,0.3617,0.1146,0.0175,0.0,42.765,15,2022-11-07 15:49:24:849
5.8129,-6.1528,-2.8298,0.3617,0.1146,0.0175,0.0,42.765,24,2022-11-07 15:49:24:858
5.6381,-6.081,-2.691,0.3928,0.2203,0.1158,0.0,42.765,35,2022-11-07 15:49:24:869
5.6573,-6.0978,-2.4755,0.4099,0.3718,0.26,0.0,42.765,45,2022-11-07 15:49:24:879
5.6573,-6.0978,-2.4755,0.4313,0.5056,0.3718,0.0,42.765,55,2022-11-07 15:49:24:889
5.8129,-6.3085,-2.4396,0.5107,0.5819,0.505,0.0,42.765,65,2022-11-07 15:49:24:899
5.8368,-6.6101,-2.7341,0.6329,0.505,0.6345,0.0,42.765,75,2022-11-07 15:49:24:909
6.2414,-7.1009,-3.3326,0.8491,0.2301,0.8055,0.0,42.765,85,2022-11-07 15:49:24:919
6.2414,-7.1009,-3.3326,1.0501,-0.1303,0.9081,0.0,42.765,95,2022-11-07 15:49:24:929
6.9956,-7.6324,-4.1202,1.2615,-0.6532,0.9191,0.0,42.765,105,2022-11-07 15:49:24:939
8.0274,-8.3027,-4.5536,1.3207,-0.8414,0.8758,0.0,42.765,115,2022-11-07 15:49:24:949
8.0274,-8.3027,-4.5536,1.3207,-0.8414,0.8758,0.0,42.765,125,2022-11-07 15:49:24:959
8.4703,-8.4296,-4.319,1.3397,-1.203,0.6021,0.0,42.765,135,2022-11-07 15:49:24:969
8.1998,-8.2118,-4.1418,1.19,-1.1096,0.3406,0.0,42.765,145,2022-11-07 15:49:24:979
8.1998,-8.2118,-4.1418,1.0287,-0.9721,0.122,0.0,42.765,155,2022-11-07 15:49:24:989
8.0561,-8.3722,-3.505,0.8351,-0.7601,-0.0809,0.0,42.765,165,2022-11-07 15:49:24:999
8.1711,-8.772,-2.6742,0.6421,-0.4254,-0.2556,0.0,42.765,175,2022-11-07 15:49:25:009
8.6188,-9.4567,-1.9967,0.5248,-0.1426,-0.3673,0.0,42.765,185,2022-11-07 15:49:25:019
8.6188,-9.4567,-1.9967,0.3843,0.4402,-0.5653,0.0,42.765,195,2022-11-07 15:49:25:029
9.1,-9.9714,-1.6735,0.3739,0.7621,-0.7021,0.0,42.765,205,2022-11-07 15:49:25:039
9.6626,-10.2994,-1.3311,0.4399,1.0523,-0.9519,0.0,42.382,215,2022-11-07 15:49:25:049
10.5604,-10.4383,-0.5387,0.5553,1.3119,-1.327,0.0,42.382,225,2022-11-07 15:49:25:059
11.3169,-10.6633,0.6129,0.6903,1.5941,-1.6911,0.0,42.382,235,2022-11-07 15:49:25:069
11.2331,-11.0009,1.4772,0.8406,1.9826,-2.0332,0.0,42.382,250,2022-11-07 15:49:25:084
11.2331,-11.0009,1.4772,0.9273,2.3589,-2.1896,0.0,42.382,255,2022-11-07 15:49:25:089
10.4095,-11.1445,2.0134,0.9872,3.194,-2.1419,0.0,42.382,265,2022-11-07 15:49:25:099
10.4095,-11.1445,2.0134,0.9872,3.194,-2.1419,0.0,42.382,275,2022-11-07 15:49:25:109
8.9659,-10.8477,1.7333,0.8754,3.6851,-1.8511,0.0,42.382,285,2022-11-07 15:49:25:119
8.1471,-9.4998,0.7613,0.5706,4.0217,-1.3899,0.0,42.382,294,2022-11-07 15:49:25:128
7.7282,-8.2213,0.0192,0.3024,3.9282,-1.148,0.0,42.382,305,2022-11-07 15:49:25:139
7.5031,-7.721,-0.4453,-0.0103,3.3968,-1.046,0.0,42.382,315,2022-11-07 15:49:25:149
7.5031,-7.721,-0.4453,-0.0103,3.3968,-1.046,0.0,42.382,325,2022-11-07 15:49:25:159
6.5886,-7.0243,-0.8236,-0.4954,2.2111,-1.1291,0.0,42.382,334,2022-11-07 15:49:25:168
6.1097,-7.0123,-0.0479,-0.8668,1.544,-1.1975,0.0,42.382,345,2022-11-07 15:49:25:179
-0.3615,-9.1167,-0.1772,-1.1844,1.4194,-1.0986,0.0,42.382,354,2022-11-07 15:49:25:188
-0.3615,-9.1167,-0.1772,-2.2504,3.6735,0.0261,0.0,42.382,365,2022-11-07 15:49:25:199
2.4899,-9.5141,-1.367,-2.9535,4.8195,0.4738,0.0,42.382,375,2022-11-07 15:49:25:209
12.593,-8.1256,0.6081,-2.623,3.7975,-0.4242,0.0,42.382,384,2022-11-07 15:49:25:218
10.5867,-8.6403,1.063,-2.2143,2.8226,-1.1774,0.0,42.382,395,2022-11-07 15:49:25:229
