ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),PROXIMITY (m),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
5.0683,-8.5781,-2.5689,0.9689,3.3107,1.1158,0.0,46.45,19,2022-11-07 15:53:34:301
4.9271,-8.444,-2.1786,0.8406,2.8195,1.1519,0.0,46.45,29,2022-11-07 15:53:34:311
4.8983,-8.2884,-2.2576,0.6763,2.3125,1.1598,0.0,46.45,38,2022-11-07 15:53:34:320
4.8983,-8.2884,-2.2576,0.4936,1.7682,1.1201,0.0,46.45,49,2022-11-07 15:53:34:331
4.9318,-8.2979,-2.2409,0.2609,1.1122,1.0505,0.0,46.45,59,2022-11-07 15:53:34:341
4.884,-8.4655,-1.8674,0.2609,1.1122,1.0505,0.0,46.45,68,2022-11-07 15:53:34:350
4.9486,-8.5134,-1.446,-0.0794,0.2838,0.8776,0.0,46.45,81,2022-11-07 15:53:34:363
4.7882,-8.59,-1.2737,-0.0794,0.2838,0.8776,0.0,46.45,89,2022-11-07 15:53:34:371
4.7092,-8.4607,-0.9792,-0.2174,0.0474,0.7945,0.0,46.45,99,2022-11-07 15:53:34:381
4.7092,-8.4607,-0.9792,-0.3054,-0.0662,0.6925,0.0,46.45,113,2022-11-07 15:53:34:395
4.0077,-8.6092,-0.5411,-0.3054,-0.0662,0.6925,0.0,46.45,120,2022-11-07 15:53:34:402
3.5552,-8.3482,-0.1029,-0.2034,0.3217,1.0615,0.0,46.45,133,2022-11-07 15:53:34:415
3.5552,-8.3482,-0.1029,-0.2034,0.3217,1.0615,0.0,46.45,139,2022-11-07 15:53:34:421
4.0748,-7.4887,-0.316,-0.1545,0.4872,1.081,0.0,46.45,149,2022-11-07 15:53:34:431
3.8306,-7.1224,0.0168,-0.0623,0.7475,1.0969,0.0,46.45,161,2022-11-07 15:53:34:443
3.8138,-6.6317,-0.0599,0.0672,1.0053,1.1317,0.0,46.45,169,2022-11-07 15:53:34:451
3.8138,-6.6317,-0.0599,0.1656,1.183,1.1384,0.0,46.45,179,2022-11-07 15:53:34:461
3.8066,-6.1313,-0.0814,0.1656,1.183,1.1384,0.0,46.45,188,2022-11-07 15:53:34:470
3.8617,-5.7722,-0.2969,0.2658,1.3394,1.1,0.0,44.382,199,2022-11-07 15:53:34:481
4.07,-5.4777,-0.9098,0.3293,1.3119,0.9686,0.0,44.382,209,2022-11-07 15:53:34:491
4.2112,-5.5304,-1.2186,0.333,1.1958,0.8642,0.0,44.382,219,2022-11-07 15:53:34:501
4.2112,-5.5304,-1.2186,0.314,0.8684,0.6381,0.0,44.382,229,2022-11-07 15:53:34:511
4.1969,-5.7482,-1.209,0.2792,0.464,0.3785,0.0,44.382,239,2022-11-07 15:53:34:521
4.0005,-5.9685,-1.1611,0.2389,0.1219,0.1849,0.0,44.382,249,2022-11-07 15:53:34:531
4.0005,-5.9685,-1.1611,0.2389,0.1219,0.1849,0.0,44.382,258,2022-11-07 15:53:34:540
3.5504,-6.0834,-1.0726,0.0678,-0.671,-0.1041,0.0,44.382,269,2022-11-07 15:53:34:551
3.0884,-6.0379,-0.8355,0.0116,-0.8768,-0.1395,0.0,44.382,291,2022-11-07 15:53:34:573
3.0884,-6.0379,-0.8355,0.0116,-0.8768,-0.1395,0.0,44.382,293,2022-11-07 15:53:34:575
3.0884,-6.0379,-0.8355,-0.1142,-1.2769,-0.1865,0.0,44.382,299,2022-11-07 15:53:34:581
3.2775,-6.1768,-0.5889,-0.1973,-1.5616,-0.3392,0.0,44.382,309,2022-11-07 15:53:34:591
3.9766,-6.7729,-0.3878,-0.1973,-1.5616,-0.3392,0.0,44.382,319,2022-11-07 15:53:34:601
4.4267,-7.697,-0.182,-0.2388,-1.7039,-0.5237,0.0,44.382,328,2022-11-07 15:53:34:610
4.4267,-7.697,-0.182,-0.2614,-1.8017,-0.7265,0.0,44.382,339,2022-11-07 15:53:34:621
4.714,-8.8438,0.0958,-0.2541,-1.834,-0.9446,0.0,44.382,349,2022-11-07 15:53:34:631
4.6517,-9.6315,0.5075,-0.1857,-1.7076,-1.115,0.0,44.382,359,2022-11-07 15:53:34:641
4.6517,-9.6315,0.5075,-0.1063,-1.5207,-1.1725,0.0,44.382,369,2022-11-07 15:53:34:651
4.4722,-9.7368,0.6943,-0.0103,-1.2727,-1.2018,0.0,44.382,379,2022-11-07 15:53:34:661
4.1992,-9.4926,0.7565,0.1063,-0.93,-1.2262,0.0,44.382,388,2022-11-07 15:53:34:670
3.876,-8.9731,0.6392,0.1063,-0.93,-1.2262,0.0,44.382,399,2022-11-07 15:53:34:681
3.6965,-8.693,0.486,0.2035,-0.6025,-1.2507,0.0,44.382,409,2022-11-07 15:53:34:691
3.6965,-8.693,0.486,0.2542,-0.3857,-1.2733,0.0,44.382,418,2022-11-07 15:53:34:700
3.6773,-8.5206,0.1867,0.2737,-0.189,-1.3044,0.0,44.382,429,2022-11-07 15:53:34:711
3.9455,-8.5062,-0.0311,0.2627,-0.123,-1.4303,0.0,44.382,439,2022-11-07 15:53:34:721
4.0365,-8.8534,-0.1604,0.2224,-0.1145,-1.5561,0.0,44.382,448,2022-11-07 15:53:34:730
4.0365,-8.8534,-0.1604,0.1363,-0.1395,-1.6923,0.0,44.382,462,2022-11-07 15:53:34:744
3.9096,-9.3226,-0.2801,0.0214,-0.1737,-1.7619,0.0,44.382,469,2022-11-07 15:53:34:751
3.7635,-9.665,-0.2322,-0.0855,-0.1847,-1.7577,0.0,44.382,483,2022-11-07 15:53:34:765
3.4714,-10.0241,-0.225,-0.0855,-0.1847,-1.7577,0.0,44.382,489,2022-11-07 15:53:34:771
3.4714,-10.0241,-0.225,-0.2284,-0.2079,-1.6752,0.0,44.382,501,2022-11-07 15:53:34:783
3.3302,-10.206,-0.1676,-0.3427,-0.2116,-1.5555,0.0,44.382,508,2022-11-07 15:53:34:790
3.3302,-10.206,-0.1676,-0.4856,-0.2079,-1.3032,0.0,41.342,519,2022-11-07 15:53:34:801
