ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),PROXIMITY (m),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
7.6779,-6.8447,2.3342,-0.262,1.213,0.384,0.0,40.803,21,2022-11-07 15:51:12:642
7.6779,-6.8447,2.3342,-0.2468,1.3589,0.4256,0.0,57.602,31,2022-11-07 15:51:12:652
6.9333,-6.2534,2.1714,-0.2303,1.5227,0.4585,0.0,57.602,40,2022-11-07 15:51:12:661
6.4736,-5.8248,1.8578,-0.2468,1.6632,0.4909,0.0,57.602,51,2022-11-07 15:51:12:672
6.1864,-5.5663,1.5873,-0.2883,1.6833,0.505,0.0,57.602,61,2022-11-07 15:51:12:682
6.1864,-5.5663,1.5873,-0.3585,1.657,0.5386,0.0,57.602,70,2022-11-07 15:51:12:691
6.0499,-5.5256,1.3814,-0.4709,1.5532,0.6058,0.0,57.602,81,2022-11-07 15:51:12:702
5.9709,-5.583,1.3024,-0.5693,1.431,0.6681,0.0,57.602,90,2022-11-07 15:51:12:711
6.0595,-5.4777,1.3622,-0.6566,1.3009,0.7108,0.0,57.602,101,2022-11-07 15:51:12:722
6.0595,-5.4777,1.3622,-0.7159,1.191,0.7298,0.0,57.602,110,2022-11-07 15:51:12:731
6.105,-5.2934,1.5873,-0.7513,1.1311,0.731,0.0,57.602,121,2022-11-07 15:51:12:742
6.148,-5.0587,1.7214,-0.758,1.0981,0.7108,0.0,57.602,131,2022-11-07 15:51:12:752
6.0451,-4.848,1.7812,-0.7299,1.081,0.6913,0.0,57.602,141,2022-11-07 15:51:12:762
5.8368,-4.7212,1.7261,-0.7299,1.081,0.6913,0.0,57.602,150,2022-11-07 15:51:12:771
5.6022,-4.4985,1.6064,-0.6658,1.0706,0.6992,0.0,57.602,161,2022-11-07 15:51:12:782
