ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),PROXIMITY (m),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
3.639,-6.907,-0.6943,-0.5241,2.2771,1.3223,0.0,46.671,16,2022-11-07 15:53:47:766
3.335,-6.591,-0.6512,-0.5369,2.2337,1.3089,0.0,46.671,25,2022-11-07 15:53:47:775
3.2847,-6.0858,-0.6727,-0.5369,2.2337,1.3089,0.0,46.671,36,2022-11-07 15:53:47:786
3.2847,-6.0858,-0.6727,-0.5504,2.1396,1.293,0.0,46.671,45,2022-11-07 15:53:47:795
3.3733,-5.4442,-0.747,-0.5705,1.9851,1.2398,0.0,46.671,58,2022-11-07 15:53:47:808
3.3733,-5.4442,-0.747,-0.5998,1.7963,1.139,0.0,46.671,66,2022-11-07 15:53:47:816
3.4762,-5.4131,-0.7182,-0.6298,1.6051,1.0285,0.0,46.671,76,2022-11-07 15:53:47:826
3.5385,-5.4609,-0.7158,-0.6554,1.3785,0.9014,0.0,47.061,85,2022-11-07 15:53:47:835
3.5959,-5.7794,-0.6225,-0.6658,1.2539,0.8373,0.0,47.061,96,2022-11-07 15:53:47:846
3.5959,-5.7794,-0.6225,-0.6658,1.2539,0.8373,0.0,47.061,106,2022-11-07 15:53:47:856
3.7396,-6.2175,-0.6081,-0.6786,0.8061,0.6387,0.0,47.061,116,2022-11-07 15:53:47:866
3.8425,-6.5143,-0.5459,-0.6725,0.4671,0.5135,0.0,47.061,125,2022-11-07 15:53:47:875
3.8425,-6.5143,-0.5459,-0.6615,0.2081,0.4188,0.0,47.061,136,2022-11-07 15:53:47:886
3.8353,-6.8136,-0.4118,-0.6255,-0.0723,0.3278,0.0,47.061,145,2022-11-07 15:53:47:895
3.9981,-7.1607,-0.2562,-0.5656,-0.2947,0.2423,0.0,47.061,156,2022-11-07 15:53:47:906
4.2495,-7.6707,-0.1006,-0.4923,-0.4181,0.1568,0.0,47.061,166,2022-11-07 15:53:47:916
4.2495,-7.6707,-0.1006,-0.3353,-0.5097,-0.0155,0.0,47.061,176,2022-11-07 15:53:47:926
4.556,-8.3434,0.1293,-0.3353,-0.5097,-0.0155,0.0,47.061,186,2022-11-07 15:53:47:936
4.7523,-8.8941,0.2945,-0.1576,-0.4853,-0.1829,0.0,47.061,195,2022-11-07 15:53:47:945
4.8074,-8.7576,0.2538,0.0477,-0.3912,-0.3625,0.0,47.061,208,2022-11-07 15:53:47:958
4.3956,-8.1495,0.3448,0.1986,-0.2837,-0.5335,0.0,47.061,216,2022-11-07 15:53:47:966
4.3956,-8.1495,0.3448,0.3604,-0.1303,-0.7449,0.0,47.061,225,2022-11-07 15:53:47:975
4.0005,-7.3379,0.1915,0.4808,-0.0021,-0.9703,0.0,47.061,236,2022-11-07 15:53:47:986
3.6654,-6.8591,-0.0168,0.537,0.0407,-1.1047,0.0,47.061,245,2022-11-07 15:53:47:995
3.4786,-6.7561,-0.1197,0.5926,0.0835,-1.338,0.0,47.061,258,2022-11-07 15:53:48:008
3.3517,-7.0171,-0.3495,0.6054,0.067,-1.5127,0.0,47.061,265,2022-11-07 15:53:48:015
3.6055,-7.4672,-0.6296,0.5969,0.015,-1.6434,0.0,47.061,279,2022-11-07 15:53:48:029
3.6055,-7.4672,-0.6296,0.5058,-0.1242,-1.9391,0.0,47.061,286,2022-11-07 15:53:48:036
3.7827,-8.0897,-0.6656,0.5058,-0.1242,-1.9391,0.0,47.061,295,2022-11-07 15:53:48:045
4.0987,-9.4998,-0.6799,0.3311,-0.3637,-2.3013,0.0,47.061,308,2022-11-07 15:53:48:058
4.4722,-10.7471,-0.6799,0.3311,-0.3637,-2.3013,0.0,47.061,315,2022-11-07 15:53:48:065
4.4722,-10.7471,-0.6799,0.1674,-0.6447,-2.5713,0.0,47.061,326,2022-11-07 15:53:48:076
4.8145,-11.9944,-0.5411,0.0648,-0.8231,-2.7106,0.0,47.061,336,2022-11-07 15:53:48:086
4.7499,-12.727,-0.3687,0.0031,-0.9342,-2.7601,0.0,47.061,345,2022-11-07 15:53:48:095
4.4985,-13.0837,-0.0694,-0.0372,-0.9849,-2.7192,0.0,47.061,357,2022-11-07 15:53:48:107
4.4985,-13.0837,-0.0694,-0.0372,-0.9849,-2.7192,0.0,47.061,366,2022-11-07 15:53:48:116
4.0819,-12.8491,0.225,-0.0287,-0.919,-2.5842,0.0,47.061,376,2022-11-07 15:53:48:126
3.5337,-12.3105,0.4453,0.0013,-0.817,-2.4431,0.0,47.061,386,2022-11-07 15:53:48:136
2.9304,-11.6712,0.5459,0.0837,-0.5854,-2.1352,0.0,47.061,396,2022-11-07 15:53:48:146
2.9304,-11.6712,0.5459,0.2059,-0.3112,-1.7699,0.0,47.061,406,2022-11-07 15:53:48:156
2.4492,-10.941,0.5866,0.3397,-0.0454,-1.3771,0.0,41.742,416,2022-11-07 15:53:48:166
2.0278,-10.127,0.5267,0.446,0.1482,-1.0631,0.0,41.742,426,2022-11-07 15:53:48:176
2.0302,-9.3825,0.4238,0.559,0.3608,-0.732,0.0,41.742,436,2022-11-07 15:53:48:186
