ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),PROXIMITY (m),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
6.7633,-6.3851,-3.426,0.0287,0.2606,-0.0564,0.0,48.005,25,2022-11-07 15:47:43:027
6.6747,-6.3372,-3.323,0.0599,0.2288,-0.0185,0.0,48.005,35,2022-11-07 15:47:43:037
6.5886,-6.2462,-3.2153,0.1094,0.2117,0.0322,0.0,48.005,45,2022-11-07 15:47:43:047
6.5886,-6.2462,-3.2153,0.1882,0.1867,0.0743,0.0,48.005,55,2022-11-07 15:47:43:057
6.4832,-6.16,-3.1698,0.2749,0.1525,0.1158,0.0,48.005,65,2022-11-07 15:47:43:067
6.3946,-6.0547,-3.2416,0.2749,0.1525,0.1158,0.0,48.005,75,2022-11-07 15:47:43:077
6.3156,-5.935,-3.3469,0.3769,0.1122,0.1916,0.0,48.005,85,2022-11-07 15:47:43:087
6.2318,-5.8272,-3.2775,0.4704,0.0157,0.3083,0.0,48.005,95,2022-11-07 15:47:43:097
6.2318,-5.8272,-3.2775,0.5107,-0.0155,0.3926,0.0,48.005,105,2022-11-07 15:47:43:107
5.9661,-5.5399,-3.1985,0.5388,-0.0363,0.4885,0.0,48.005,114,2022-11-07 15:47:43:116
5.6573,-5.4011,-2.9376,0.5675,-0.0699,0.574,0.0,48.005,125,2022-11-07 15:47:43:127
5.2598,-5.2527,-2.6503,0.5816,-0.1175,0.6333,0.0,48.005,135,2022-11-07 15:47:43:137
5.3173,-5.176,-1.9991,0.595,-0.0857,0.7157,0.0,48.005,145,2022-11-07 15:47:43:147
5.3173,-5.176,-1.9991,0.6543,0.1409,0.8281,0.0,48.005,155,2022-11-07 15:47:43:157
4.2328,-4.7283,-1.9033,0.7349,0.1189,0.9869,0.0,48.005,164,2022-11-07 15:47:43:166
4.4626,-4.8457,-1.2761,0.9799,0.2154,1.2918,0.0,48.005,176,2022-11-07 15:47:43:178
4.6326,-5.0085,-0.9313,0.9799,0.2154,1.2918,0.0,48.005,185,2022-11-07 15:47:43:187
4.6326,-5.0085,-0.9313,1.2364,0.5202,1.4866,0.0,48.005,195,2022-11-07 15:47:43:197
4.8097,-5.1736,-1.3287,1.4441,0.5722,1.6393,0.0,48.005,205,2022-11-07 15:47:43:207
5.2598,-5.449,-1.8004,1.6219,0.2924,1.7169,0.0,48.005,215,2022-11-07 15:47:43:217
6.5383,-6.081,-1.4843,1.9139,-0.4095,1.3773,0.0,48.005,228,2022-11-07 15:47:43:230
7.6659,-6.6867,-1.3168,1.9139,-0.4095,1.3773,0.0,48.005,234,2022-11-07 15:47:43:236
7.6659,-6.6867,-1.3168,2.0959,-0.6532,0.8904,0.0,48.005,246,2022-11-07 15:47:43:248
8.6451,-7.5486,-1.1348,2.3506,-0.7962,0.4097,0.0,48.005,255,2022-11-07 15:47:43:257
9.0665,-8.7049,-1.2545,2.5608,-0.8396,0.1568,0.0,48.005,265,2022-11-07 15:47:43:267
10.0792,-10.2611,-1.5681,2.7465,-0.8011,-0.0589,0.0,48.005,275,2022-11-07 15:47:43:277
11.4917,-11.9657,-1.7597,2.7465,-0.8011,-0.0589,0.0,48.005,285,2022-11-07 15:47:43:287
11.4917,-11.9657,-1.7597,2.8125,-0.6312,-0.2818,0.0,48.005,296,2022-11-07 15:47:43:298
12.8683,-13.6775,-1.7238,2.7917,-0.4669,-0.4975,0.0,48.005,305,2022-11-07 15:47:43:307
12.9593,-14.3143,-1.5083,2.7043,-0.2543,-0.6899,0.0,48.005,315,2022-11-07 15:47:43:317
11.664,-13.8618,-1.8818,2.405,0.0474,-0.7552,0.0,48.005,325,2022-11-07 15:47:43:327
10.3617,-12.7055,-1.8123,2.1057,0.0193,-0.7216,0.0,48.005,335,2022-11-07 15:47:43:337
10.3617,-12.7055,-1.8123,1.8082,-0.0576,-0.7314,0.0,48.005,345,2022-11-07 15:47:43:347
9.9547,-11.7119,-0.7015,1.4386,0.0761,-0.8701,0.0,48.005,354,2022-11-07 15:47:43:356
9.7129,-11.1062,0.0622,1.215,0.2301,-0.9929,0.0,48.005,365,2022-11-07 15:47:43:367
9.6578,-10.7471,0.2562,0.8021,0.4964,-1.2232,0.0,48.005,376,2022-11-07 15:47:43:378
9.641,-10.2611,-0.1748,0.3476,0.6082,-1.5011,0.0,48.005,385,2022-11-07 15:47:43:387
