ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),PROXIMITY (m),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
3.019,-8.1256,1.6304,0.3,2.7279,1.1659,0.0,41.949,17,2022-11-07 15:53:03:508
3.2512,-7.6204,0.9936,0.3,2.7279,1.1659,0.0,41.949,27,2022-11-07 15:53:03:518
3.6869,-7.3235,0.4956,0.4539,3.263,1.2667,0.0,41.949,37,2022-11-07 15:53:03:528
3.6869,-7.3235,0.4956,0.5327,3.6405,1.2441,0.0,41.949,46,2022-11-07 15:53:03:537
4.046,-7.302,0.0144,0.5455,3.8171,1.1586,0.0,41.949,57,2022-11-07 15:53:03:548
4.2471,-7.5127,-0.4214,0.5315,3.8702,1.081,0.0,41.949,67,2022-11-07 15:53:03:558
4.2471,-7.5127,-0.4214,0.5315,3.8702,1.081,0.0,41.949,77,2022-11-07 15:53:03:568
4.2471,-7.5127,-0.4214,0.4331,3.8201,0.9259,0.0,41.949,87,2022-11-07 15:53:03:578
4.1897,-7.7736,-0.8188,0.4331,3.8201,0.9259,0.0,48.832,98,2022-11-07 15:53:03:589
3.9215,-7.6994,-1.1923,0.2658,3.5739,0.891,0.0,48.832,107,2022-11-07 15:53:03:598
3.5457,-7.1751,-1.5681,-0.0464,3.0083,0.9827,0.0,48.832,117,2022-11-07 15:53:03:608
3.4427,-6.7585,-1.4532,-0.1924,2.6827,1.0315,0.0,48.832,127,2022-11-07 15:53:03:618
3.4427,-6.7585,-1.4532,-0.303,2.3638,1.059,0.0,48.832,137,2022-11-07 15:53:03:628
3.3015,-6.2438,-1.3168,-0.405,1.9185,1.0609,0.0,48.832,147,2022-11-07 15:53:03:638
3.1578,-5.8512,-1.1659,-0.405,1.9185,1.0609,0.0,48.832,157,2022-11-07 15:53:03:648
3.1626,-5.6596,-1.0821,-0.4422,1.5905,1.0383,0.0,48.832,167,2022-11-07 15:53:03:658
3.1626,-5.6596,-1.0821,-0.4441,1.3357,1.0028,0.0,48.832,176,2022-11-07 15:53:03:667
3.4092,-5.7003,-0.7254,-0.4129,1.081,0.9405,0.0,48.832,187,2022-11-07 15:53:03:678
3.7923,-6.0451,-0.5291,-0.3311,0.8208,0.819,0.0,48.832,197,2022-11-07 15:53:03:688
4.149,-6.3204,-0.3926,-0.2492,0.6516,0.7004,0.0,48.832,207,2022-11-07 15:53:03:698
4.1322,-6.2294,-0.3376,-0.1478,0.4732,0.5777,0.0,48.832,216,2022-11-07 15:53:03:707
4.1322,-6.2294,-0.3376,-0.1478,0.4732,0.5777,0.0,48.832,227,2022-11-07 15:53:03:718
3.9431,-5.911,-0.3687,0.0184,0.1708,0.3926,0.0,48.832,236,2022-11-07 15:53:03:727
4.0341,-6.1385,-0.3663,0.1485,-0.1175,0.2295,0.0,48.832,247,2022-11-07 15:53:03:738
4.2304,-6.8352,-0.4046,0.2444,-0.3625,0.0829,0.0,48.832,256,2022-11-07 15:53:03:747
4.2304,-6.8352,-0.4046,0.344,-0.6765,-0.112,0.0,48.832,268,2022-11-07 15:53:03:759
4.453,-7.6898,-0.3854,0.4124,-0.9764,-0.3166,0.0,48.832,277,2022-11-07 15:53:03:768
4.6278,-8.5781,-0.3376,0.4124,-0.9764,-0.3166,0.0,48.832,287,2022-11-07 15:53:03:778
4.6278,-8.5781,-0.3376,0.4509,-1.1896,-0.4742,0.0,48.832,297,2022-11-07 15:53:03:788
4.4794,-8.9396,-0.2681,0.4698,-1.418,-0.6532,0.0,48.832,307,2022-11-07 15:53:03:798
4.1633,-8.9444,-0.0838,0.4777,-1.5598,-0.7986,0.0,48.832,317,2022-11-07 15:53:03:808
4.1633,-8.9444,-0.0838,0.4783,-1.6178,-0.8939,0.0,48.832,327,2022-11-07 15:53:03:818
3.9981,-8.8797,0.1077,0.4698,-1.6166,-1.0155,0.0,48.832,337,2022-11-07 15:53:03:828
3.9814,-9.1981,0.2418,0.4466,-1.5512,-1.1389,0.0,48.832,346,2022-11-07 15:53:03:837
4.2016,-9.2101,0.1436,0.4075,-1.4987,-1.3032,0.0,48.832,357,2022-11-07 15:53:03:848
4.1131,-9.3801,0.2586,0.358,-1.44,-1.462,0.0,48.832,367,2022-11-07 15:53:03:858
4.1131,-9.3801,0.2586,0.3,-1.3643,-1.5665,0.0,48.832,377,2022-11-07 15:53:03:868
3.7659,-9.3442,0.3591,0.2303,-1.2604,-1.6123,0.0,48.832,387,2022-11-07 15:53:03:878
3.4619,-9.1957,0.4285,0.2303,-1.2604,-1.6123,0.0,48.832,398,2022-11-07 15:53:03:889
3.1985,-9.0401,0.4022,0.1363,-1.1175,-1.6068,0.0,48.832,407,2022-11-07 15:53:03:898
2.9687,-9.0832,0.2993,0.0324,-0.9837,-1.5543,0.0,39.164,418,2022-11-07 15:53:03:909
2.9687,-9.0832,0.2993,-0.0568,-0.8933,-1.4889,0.0,39.164,427,2022-11-07 15:53:03:918
3.2272,-9.2364,0.4621,-0.1429,-0.7858,-1.4425,0.0,39.164,437,2022-11-07 15:53:03:928
3.5313,-9.7488,0.4573,-0.3335,-0.6062,-1.3979,0.0,39.164,453,2022-11-07 15:53:03:944
3.73,-10.2108,0.5363,-0.3335,-0.6062,-1.3979,0.0,39.164,457,2022-11-07 15:53:03:948
3.73,-10.2108,0.5363,-0.3335,-0.6062,-1.3979,0.0,39.164,467,2022-11-07 15:53:03:958
3.7755,-10.4598,0.6057,-0.4679,-0.4822,-1.3863,0.0,39.164,477,2022-11-07 15:53:03:968
3.6223,-10.8022,0.6991,-0.5772,-0.3478,-1.3166,0.0,39.164,487,2022-11-07 15:53:03:978
3.3446,-10.7351,0.7996,-0.6377,-0.236,-1.2244,0.0,39.164,497,2022-11-07 15:53:03:988
3.3446,-10.7351,0.7996,-0.6835,-0.1059,-1.0967,0.0,39.164,507,2022-11-07 15:53:03:998
3.3446,-10.7351,0.7996,-0.6835,-0.1059,-1.0967,0.0,39.164,516,2022-11-07 15:53:04:007
3.2488,-10.4981,0.8547,-0.7073,0.004,-0.9959,0.0,39.164,527,2022-11-07 15:53:04:018
3.2488,-10.4981,0.8547,-0.7073,0.004,-0.9959,0.0,39.164,537,2022-11-07 15:53:04:028
3.3661,-10.0217,0.8691,-0.7159,0.417,-0.718,0.0,39.164,547,2022-11-07 15:53:04:038
3.3661,-10.0217,0.8691,-0.7159,0.417,-0.718,0.0,39.164,557,2022-11-07 15:53:04:048
3.3661,-10.0217,0.8691,-0.7159,0.417,-0.718,0.0,39.164,566,2022-11-07 15:53:04:057
3.4092,-9.8278,0.8403,-0.6799,0.6143,-0.6832,0.0,39.164,577,2022-11-07 15:53:04:068
2.9687,-9.0066,0.6799,-0.529,0.9167,-0.6349,0.0,39.164,587,2022-11-07 15:53:04:078
2.9687,-9.0066,0.6799,-0.4581,0.9967,-0.5811,0.0,39.164,597,2022-11-07 15:53:04:088
2.7987,-8.6906,0.5937,-0.3995,1.0486,-0.5249,0.0,39.164,607,2022-11-07 15:53:04:098
2.6958,-8.4392,0.5123,-0.3323,1.0853,-0.4449,0.0,39.164,617,2022-11-07 15:53:04:108
2.6168,-8.4009,0.4022,-0.273,1.0865,-0.3454,0.0,39.164,626,2022-11-07 15:53:04:117
2.7173,-8.8151,0.2418,-0.2437,1.0492,-0.2482,0.0,39.164,637,2022-11-07 15:53:04:128
2.7173,-8.8151,0.2418,-0.2309,0.9686,-0.1597,0.0,39.164,647,2022-11-07 15:53:04:138
3.0836,-9.1862,0.1341,-0.2327,0.8403,-0.1022,0.0,39.164,657,2022-11-07 15:53:04:148
3.4738,-9.3322,0.0024,-0.2345,0.6864,-0.0772,0.0,39.164,667,2022-11-07 15:53:04:158
3.4595,-8.5637,0.0287,-0.2235,0.5056,-0.0821,0.0,39.164,677,2022-11-07 15:53:04:168
3.2775,-7.8479,0.1604,-0.2235,0.5056,-0.0821,0.0,39.164,686,2022-11-07 15:53:04:177
3.2775,-7.8479,0.1604,-0.1924,0.3981,-0.0827,0.0,39.164,697,2022-11-07 15:53:04:188
3.1698,-7.2948,0.2322,-0.1502,0.3131,-0.0778,0.0,39.164,707,2022-11-07 15:53:04:198
3.1195,-6.9692,0.3615,-0.072,0.246,-0.0637,0.0,39.164,716,2022-11-07 15:53:04:207
3.1411,-7.2374,0.4118,0.0019,0.2111,-0.0289,0.0,39.164,727,2022-11-07 15:53:04:218
3.1411,-7.2374,0.4118,0.0978,0.1836,0.0603,0.0,39.164,737,2022-11-07 15:53:04:228
3.4882,-7.7952,0.4429,0.1845,0.1574,0.1519,0.0,39.164,747,2022-11-07 15:53:04:238
3.8401,-8.3458,0.3711,0.2377,0.1244,0.2185,0.0,39.447,757,2022-11-07 15:53:04:248
4.0628,-8.1591,0.3639,0.281,0.0871,0.249,0.0,39.447,767,2022-11-07 15:53:04:258
4.0628,-8.1591,0.3639,0.3372,0.0529,0.2362,0.0,39.447,777,2022-11-07 15:53:04:268
4.0293,-7.46,0.3998,0.3904,0.0468,0.2099,0.0,39.447,787,2022-11-07 15:53:04:278
3.8713,-6.7011,0.4166,0.3904,0.0468,0.2099,0.0,39.447,797,2022-11-07 15:53:04:288
3.8713,-6.7011,0.4166,0.4619,0.0444,0.1714,0.0,39.447,806,2022-11-07 15:53:04:297
3.8521,-6.476,0.4549,0.5407,0.0664,0.1482,0.0,39.447,817,2022-11-07 15:53:04:308
3.9359,-6.6556,0.4645,0.6115,0.0871,0.1617,0.0,39.447,827,2022-11-07 15:53:04:318
4.1801,-6.9932,0.4621,0.6799,0.1097,0.2044,0.0,39.447,837,2022-11-07 15:53:04:328
4.1801,-6.9932,0.4621,0.7343,0.1018,0.2625,0.0,39.447,847,2022-11-07 15:53:04:338
4.8289,-7.5582,0.182,0.7557,0.0407,0.3119,0.0,39.447,856,2022-11-07 15:53:04:347
5.4849,-7.551,0.0024,0.8296,-0.2886,0.3077,0.0,39.447,874,2022-11-07 15:53:04:365
9.3154,-6.6747,-0.3735,0.8296,-0.2886,0.3077,0.0,39.447,876,2022-11-07 15:53:04:367
9.3154,-6.6747,-0.3735,0.8656,-0.5555,-0.065,0.0,39.447,887,2022-11-07 15:53:04:378
23.3353,-3.3015,2.6,0.8656,-0.5555,-0.065,0.0,39.447,897,2022-11-07 15:53:04:388
23.3353,-3.3015,2.6,1.0159,0.4891,-2.1114,0.0,39.447,908,2022-11-07 15:53:04:399
26.1555,-7.7784,2.0661,0.8217,0.1549,-2.5549,0.0,39.447,917,2022-11-07 15:53:04:408
17.2088,-8.2118,-3.7061,0.4759,-1.1236,-2.5591,0.0,39.447,927,2022-11-07 15:53:04:418
