ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),PROXIMITY (m),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
5.8584,-14.3646,-3.2488,0.6335,-2.823,0.0902,0.0,47.022,12,2022-11-07 15:52:48:309
4.6374,-13.2896,-5.6884,0.5199,-4.3697,0.0346,0.0,47.022,22,2022-11-07 15:52:48:319
4.0173,-13.3184,0.7924,0.2994,-4.36,0.2887,0.0,47.022,32,2022-11-07 15:52:48:329
3.8042,-11.8747,2.3486,0.2285,-3.9415,0.4903,0.0,47.022,42,2022-11-07 15:52:48:339
3.6869,-10.1414,2.7724,0.2988,-3.3282,0.6223,0.0,47.022,52,2022-11-07 15:52:48:349
3.6869,-10.1414,2.7724,0.2988,-3.3282,0.6223,0.0,47.022,62,2022-11-07 15:52:48:359
3.5888,-9.1407,2.8969,0.4173,-2.79,0.6467,0.0,47.022,72,2022-11-07 15:52:48:369
3.4116,-8.669,3.074,0.562,-2.2164,0.6045,0.0,47.022,82,2022-11-07 15:52:48:379
3.1842,-8.4584,2.9088,0.7624,-1.2482,0.5178,0.0,47.022,92,2022-11-07 15:52:48:389
2.9615,-8.4392,2.7341,0.8998,-0.5848,0.4671,0.0,47.022,102,2022-11-07 15:52:48:399
2.9615,-8.4392,2.7341,0.9939,-0.0772,0.4475,0.0,47.022,112,2022-11-07 15:52:48:409
2.7125,-8.4751,2.5138,1.1448,0.9142,0.4842,0.0,47.022,122,2022-11-07 15:52:48:419
2.5808,-8.5757,2.1116,1.1992,1.5129,0.5459,0.0,47.022,132,2022-11-07 15:52:48:429
2.6455,-8.523,1.8506,1.2047,2.0755,0.6235,0.0,47.022,142,2022-11-07 15:52:48:439
2.7987,-8.0944,1.3479,1.1705,2.7303,0.6937,0.0,47.022,152,2022-11-07 15:52:48:449
2.7987,-8.0944,1.3479,1.1705,2.7303,0.6937,0.0,47.022,162,2022-11-07 15:52:48:459
2.9328,-7.8143,0.9385,1.1246,3.0168,0.6949,0.0,47.022,172,2022-11-07 15:52:48:469
3.086,-7.4911,0.5052,1.066,3.1787,0.6516,0.0,47.022,182,2022-11-07 15:52:48:479
3.0381,-7.3642,0.1245,0.895,3.2312,0.5166,0.0,47.022,193,2022-11-07 15:52:48:490
2.8729,-7.3858,-0.2274,0.7545,3.1353,0.4524,0.0,47.022,202,2022-11-07 15:52:48:499
2.8729,-7.3858,-0.2274,0.581,2.9826,0.4164,0.0,47.022,212,2022-11-07 15:52:48:509
2.7843,-7.4959,-0.3519,0.581,2.9826,0.4164,0.0,47.022,221,2022-11-07 15:52:48:518
2.7245,-7.6037,-0.5075,0.3244,2.7536,0.4207,0.0,47.022,232,2022-11-07 15:52:48:529
2.6263,-7.5079,-0.4573,0.0489,2.4903,0.4775,0.0,47.022,242,2022-11-07 15:52:48:539
2.6263,-7.5079,-0.4573,-0.1576,2.2856,0.5422,0.0,47.022,251,2022-11-07 15:52:48:548
2.5928,-7.2972,-0.2753,-0.3274,2.0938,0.6076,0.0,47.022,262,2022-11-07 15:52:48:559
2.5737,-6.9884,-0.0383,-0.4532,1.9295,0.6662,0.0,47.022,272,2022-11-07 15:52:48:569
2.7676,-6.7011,0.1293,-0.5412,1.8006,0.7029,0.0,47.022,282,2022-11-07 15:52:48:579
2.7676,-6.7011,0.1293,-0.6004,1.668,0.7072,0.0,47.022,292,2022-11-07 15:52:48:589
2.8681,-6.6173,0.4142,-0.6133,1.6118,0.7017,0.0,47.022,302,2022-11-07 15:52:48:599
2.9591,-6.4521,0.3854,-0.6072,1.5043,0.6785,0.0,47.022,312,2022-11-07 15:52:48:609
