ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),PROXIMITY (m),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
6.2271,-6.2223,-4.0532,0.5376,0.1262,0.2136,0.0,40.647,12,2022-11-07 15:49:39:732
6.1193,-6.0666,-4.1753,0.5883,-8.0E-4,0.2838,0.0,40.647,22,2022-11-07 15:49:39:742
6.0882,-5.9829,-4.0484,0.6164,-0.1151,0.3419,0.0,40.647,32,2022-11-07 15:49:39:752
6.0882,-5.9829,-4.0484,0.6445,-0.1963,0.3999,0.0,40.647,42,2022-11-07 15:49:39:762
6.0427,-5.8799,-3.9694,0.6854,-0.2776,0.4928,0.0,40.647,52,2022-11-07 15:49:39:772
5.9805,-5.832,-3.809,0.7141,-0.3069,0.5868,0.0,40.647,62,2022-11-07 15:49:39:782
6.0619,-5.7578,-3.7611,0.7642,-0.335,0.6962,0.0,40.647,72,2022-11-07 15:49:39:792
6.0619,-5.7578,-3.7611,0.7978,-0.3796,0.7646,0.0,40.647,82,2022-11-07 15:49:39:802
5.99,-5.674,-3.9167,0.7978,-0.3796,0.7646,0.0,40.647,92,2022-11-07 15:49:39:812
5.99,-5.674,-3.9167,0.7978,-0.3796,0.7646,0.0,40.647,102,2022-11-07 15:49:39:822
6.0451,-5.6405,-4.0317,0.8339,-0.4614,0.8092,0.0,40.647,112,2022-11-07 15:49:39:832
6.0451,-5.6405,-4.0317,0.8339,-0.4614,0.8092,0.0,40.647,121,2022-11-07 15:49:39:841
5.7817,-5.3197,-4.1992,0.92,-0.8017,0.8501,0.0,40.647,132,2022-11-07 15:49:39:852
5.7817,-5.3197,-4.1992,0.92,-0.8017,0.8501,0.0,40.647,142,2022-11-07 15:49:39:862
5.7817,-5.3197,-4.1992,0.92,-0.8017,0.8501,0.0,40.647,152,2022-11-07 15:49:39:872
5.4585,-5.1784,-4.0676,0.9151,-0.8939,0.9051,0.0,40.647,162,2022-11-07 15:49:39:882
5.4178,-5.9852,-4.9821,1.0819,-1.4993,1.4213,0.0,40.647,172,2022-11-07 15:49:39:892
5.8703,-6.6029,-6.0355,1.3317,-2.0008,1.6302,0.0,40.647,182,2022-11-07 15:49:39:902
6.6269,-7.6587,-7.065,1.7068,-2.8145,1.7951,0.0,40.647,192,2022-11-07 15:49:39:912
7.053,-8.5278,-7.5294,1.9127,-3.3527,1.7682,0.0,40.647,202,2022-11-07 15:49:39:922
7.053,-8.5278,-7.5294,1.9518,-3.6624,1.5783,0.0,40.647,212,2022-11-07 15:49:39:932
6.9429,-9.1407,-7.3427,1.876,-3.7082,1.2863,0.0,40.647,222,2022-11-07 15:49:39:942
6.5287,-9.6075,-7.0195,1.6946,-3.5689,0.9436,0.0,40.647,232,2022-11-07 15:49:39:952
5.9972,-9.8445,-6.4784,1.3898,-3.2897,0.5801,0.0,40.647,242,2022-11-07 15:49:39:962
5.9972,-9.8445,-6.4784,1.1533,-2.9409,0.2985,0.0,40.647,251,2022-11-07 15:49:39:971
5.9445,-9.811,-4.9893,0.9438,-2.4186,-0.0656,0.0,40.647,262,2022-11-07 15:49:39:982
6.5886,-9.5046,-3.2991,0.7764,-1.7638,-0.5921,0.0,40.647,272,2022-11-07 15:49:39:992
7.4409,-9.5213,-2.4324,0.6164,-0.886,-1.2977,0.0,43.763,281,2022-11-07 15:49:40:001
7.4409,-9.5213,-2.4324,0.3849,0.4506,-2.4199,0.0,43.763,293,2022-11-07 15:49:40:013
8.3506,-9.6243,-1.9536,0.1851,1.8238,-3.7063,0.0,43.763,301,2022-11-07 15:49:40:021
9.5022,-9.7799,-1.4604,0.1271,2.891,-4.7851,0.0,43.763,312,2022-11-07 15:49:40:032
10.4957,-10.1151,-0.4261,0.2377,3.8782,-5.7955,0.0,43.763,322,2022-11-07 15:49:40:042
10.4957,-10.1151,-0.4261,0.5455,4.6924,-6.5951,0.0,43.763,332,2022-11-07 15:49:40:052
10.8788,-10.6801,0.4261,0.8705,5.1714,-6.9763,0.0,43.763,342,2022-11-07 15:49:40:062
10.6944,-13.0119,1.063,1.6011,5.8922,-6.5994,0.0,43.763,352,2022-11-07 15:49:40:072
8.8055,-17.3452,2.3678,1.6011,5.8922,-6.5994,0.0,43.763,362,2022-11-07 15:49:40:082
8.8055,-17.3452,2.3678,1.7031,6.8335,-4.5224,0.0,43.763,371,2022-11-07 15:49:40:091
7.9412,-18.2119,2.4444,1.2731,7.6509,-2.696,0.0,43.763,382,2022-11-07 15:49:40:102
12.1644,-11.439,-1.9608,-0.3036,7.252,-0.1218,0.0,43.763,392,2022-11-07 15:49:40:112
12.1644,-11.439,-1.9608,-1.127,4.7346,-0.3142,0.0,43.763,402,2022-11-07 15:49:40:122
13.7685,-8.6188,-2.6383,-1.127,4.7346,-0.3142,0.0,43.763,411,2022-11-07 15:49:40:131
11.5635,-7.4648,0.407,-1.5174,1.596,-1.5323,0.0,43.763,422,2022-11-07 15:49:40:142
11.5635,-7.4648,0.407,-1.6646,0.0059,-2.4522,0.0,43.763,432,2022-11-07 15:49:40:152
8.827,-7.6898,2.3366,-1.8686,-0.4706,-2.8878,0.0,43.763,442,2022-11-07 15:49:40:162
6.4952,-8.3147,3.2033,-2.226,-0.0399,-2.7351,0.0,43.763,452,2022-11-07 15:49:40:172
5.0707,-8.1304,3.4619,-2.4245,0.6907,-2.2433,0.0,43.763,461,2022-11-07 15:49:40:181
3.2967,-7.0841,3.1099,-2.4611,1.6173,-1.4962,0.0,43.763,472,2022-11-07 15:49:40:192
3.1937,-6.2342,2.7819,-2.3445,2.114,-0.991,0.0,43.763,482,2022-11-07 15:49:40:202
3.1937,-6.2342,2.7819,-2.1105,2.5092,-0.5628,0.0,43.763,493,2022-11-07 15:49:40:213
3.7324,-5.9613,2.5593,-1.766,2.5349,-0.3105,0.0,43.763,502,2022-11-07 15:49:40:222
4.2399,-6.3587,2.6072,-1.766,2.5349,-0.3105,0.0,43.763,512,2022-11-07 15:49:40:232
4.0508,-6.9166,2.7508,-1.4337,2.3076,-0.1352,0.0,43.763,521,2022-11-07 15:49:40:241
4.0508,-6.9166,2.7508,-0.9578,1.7016,0.1708,0.0,43.763,532,2022-11-07 15:49:40:252
3.5145,-7.065,3.0094,-0.4435,0.8831,0.6143,0.0,43.763,543,2022-11-07 15:49:40:263
3.6821,-6.828,3.4978,-0.022,0.2618,0.9979,0.0,43.763,552,2022-11-07 15:49:40:272
3.6821,-6.828,3.4978,0.3849,-0.1493,1.3223,0.0,43.763,562,2022-11-07 15:49:40:282
4.7619,-6.5287,3.9215,0.9243,-0.1847,1.6229,0.0,43.763,572,2022-11-07 15:49:40:292
5.8871,-6.3037,4.0077,1.1564,0.0297,1.6845,0.0,43.763,581,2022-11-07 15:49:40:301
6.5479,-5.9709,3.651,1.4863,0.5447,1.6791,0.0,55.382,593,2022-11-07 15:49:40:313
6.5479,-5.9709,3.651,1.6927,0.9827,1.6174,0.0,55.382,601,2022-11-07 15:49:40:321
6.5,-5.4801,2.8011,1.8644,1.406,1.5257,0.0,55.382,612,2022-11-07 15:49:40:332
6.0355,-5.1593,1.9775,1.9377,1.5923,1.4885,0.0,55.382,622,2022-11-07 15:49:40:342
6.0355,-5.1593,1.9775,1.9377,1.5923,1.4885,0.0,55.382,631,2022-11-07 15:49:40:351
5.6333,-4.8145,1.367,1.945,1.6748,1.4805,0.0,55.382,642,2022-11-07 15:49:40:362
5.3532,-4.5464,0.8858,1.8803,1.6289,1.5178,0.0,55.382,652,2022-11-07 15:49:40:372
5.2096,-4.4051,0.4525,1.777,1.4744,1.5801,0.0,55.382,661,2022-11-07 15:49:40:381
5.1736,-4.3022,0.0527,1.6427,1.227,1.6632,0.0,55.382,674,2022-11-07 15:49:40:394
5.4466,-4.3668,-0.0263,1.5266,0.9851,1.7298,0.0,55.382,682,2022-11-07 15:49:40:402
5.4466,-4.3668,-0.0263,1.2981,0.4347,1.8299,0.0,55.382,692,2022-11-07 15:49:40:412
5.911,-4.5536,0.0335,1.2279,0.2368,1.8562,0.0,55.382,702,2022-11-07 15:49:40:422
6.9381,-4.8457,0.8643,1.0984,-0.1853,1.8709,0.0,55.382,712,2022-11-07 15:49:40:432
6.9381,-4.8457,0.8643,1.0526,-0.4413,1.7969,0.0,55.382,721,2022-11-07 15:49:40:441
7.7162,-5.1258,1.4436,1.0697,-0.5072,1.687,0.0,55.382,732,2022-11-07 15:49:40:452
