ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),PROXIMITY (m),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
5.8895,-7.63,-6.3946,1.4936,-1.3667,-0.065,0.0,44.606,17,2022-11-07 15:51:09:195
5.8895,-7.63,-6.3946,1.2719,-1.3429,-0.0925,0.0,44.606,27,2022-11-07 15:51:09:205
5.6549,-7.5175,-5.3197,1.0367,-1.1224,-0.0827,0.0,44.606,36,2022-11-07 15:51:09:214
6.6293,-8.0968,-3.6414,0.8595,-0.7113,-0.1279,0.0,44.606,47,2022-11-07 15:51:09:225
7.9819,-8.7385,-2.4444,0.7355,-0.1981,-0.3191,0.0,44.606,56,2022-11-07 15:51:09:234
7.9819,-8.7385,-2.4444,0.6573,0.4518,-0.845,0.0,44.606,67,2022-11-07 15:51:09:245
10.1318,-9.4304,-1.9153,0.6573,0.4518,-0.845,0.0,44.606,77,2022-11-07 15:51:09:255
11.1852,-10.1749,-1.8435,0.617,0.902,-1.5164,0.0,44.606,86,2022-11-07 15:51:09:264
11.664,-10.5412,-1.4676,0.559,1.2905,-2.2555,0.0,44.606,97,2022-11-07 15:51:09:275
11.664,-10.5412,-1.4676,0.4777,1.7249,-3.148,0.0,44.606,107,2022-11-07 15:51:09:285
11.1804,-10.376,-0.2657,0.4728,2.0596,-3.7381,0.0,44.606,117,2022-11-07 15:51:09:295
9.5118,-10.6442,1.0031,0.5254,2.577,-3.9977,0.0,44.606,127,2022-11-07 15:51:09:305
7.6013,-11.6329,2.1643,0.4851,3.4108,-3.5047,0.0,44.606,136,2022-11-07 15:51:09:314
7.6013,-11.6329,2.1643,0.2432,4.2862,-2.6514,0.0,44.606,147,2022-11-07 15:51:09:325
7.211,-11.3528,2.0829,0.2432,4.2862,-2.6514,0.0,44.606,156,2022-11-07 15:51:09:334
8.025,-9.562,0.7733,-0.2083,5.1219,-1.5915,0.0,44.606,167,2022-11-07 15:51:09:345
8.5254,-8.1998,-0.5411,-0.5497,4.9808,-1.1297,0.0,44.606,177,2022-11-07 15:51:09:355
8.5158,-7.4265,-1.2258,-0.7122,4.2245,-1.1627,0.0,44.606,186,2022-11-07 15:51:09:364
8.5158,-7.4265,-1.2258,-0.8582,2.8525,-1.4718,0.0,44.606,197,2022-11-07 15:51:09:375
8.0657,-7.2469,-1.0151,-0.9883,1.5636,-1.776,0.0,44.606,208,2022-11-07 15:51:09:386
7.6228,-7.4313,0.079,-1.05,1.0963,-1.8603,0.0,55.069,217,2022-11-07 15:51:09:395
7.1368,-7.6539,1.4819,-1.0647,0.8464,-1.8133,0.0,55.069,228,2022-11-07 15:51:09:406
7.1368,-7.6539,1.4819,-1.0647,0.8464,-1.8133,0.0,55.069,237,2022-11-07 15:51:09:415
6.8375,-8.1567,2.351,-0.8228,1.1482,-1.4345,0.0,55.069,247,2022-11-07 15:51:09:425
7.2182,-8.3961,2.7939,-0.4355,1.5709,-1.032,0.0,55.069,257,2022-11-07 15:51:09:435
7.2182,-8.3961,2.7939,-0.4355,1.5709,-1.032,0.0,55.069,267,2022-11-07 15:51:09:445
7.7976,-8.274,2.8059,-0.0549,1.9338,-0.7614,0.0,55.069,279,2022-11-07 15:51:09:457
8.4871,-8.0921,1.695,0.6683,2.398,-0.5188,0.0,55.069,287,2022-11-07 15:51:09:465
8.4991,-7.9412,0.8595,0.8992,2.4273,-0.4516,0.0,55.069,297,2022-11-07 15:51:09:475
8.4991,-7.9412,0.8595,1.0379,2.2026,-0.3594,0.0,55.069,307,2022-11-07 15:51:09:485
8.3291,-7.8072,0.1843,1.0477,1.8611,-0.2604,0.0,55.069,317,2022-11-07 15:51:09:495
7.4983,-7.4073,0.1006,1.0025,1.5819,-0.17,0.0,55.069,326,2022-11-07 15:51:09:504
6.907,-6.7514,0.3783,0.8693,1.1818,-0.0118,0.0,55.069,337,2022-11-07 15:51:09:515
6.907,-6.7514,0.3783,0.7428,0.9833,0.0994,0.0,55.069,347,2022-11-07 15:51:09:525
6.3683,-6.1911,0.8188,0.6017,0.8977,0.2362,0.0,55.069,357,2022-11-07 15:51:09:535
5.9278,-5.8919,1.1013,0.4887,0.946,0.3614,0.0,55.069,366,2022-11-07 15:51:09:544
5.7817,-5.7099,1.209,0.3824,1.0572,0.4928,0.0,55.069,377,2022-11-07 15:51:09:555
5.7817,-5.7099,1.209,0.2493,1.1629,0.6381,0.0,55.069,387,2022-11-07 15:51:09:565
5.8296,-5.6261,1.1228,0.1418,1.2191,0.7463,0.0,55.069,397,2022-11-07 15:51:09:575
5.9637,-5.662,1.1779,0.1418,1.2191,0.7463,0.0,55.069,407,2022-11-07 15:51:09:585
6.0619,-5.5543,1.1755,0.0416,1.2527,0.8287,0.0,55.069,417,2022-11-07 15:51:09:595
6.0619,-5.5543,1.1755,-0.0696,1.2276,0.877,0.0,55.069,427,2022-11-07 15:51:09:605
6.0044,-5.346,1.1827,-0.1515,1.1714,0.8776,0.0,55.069,437,2022-11-07 15:51:09:615
5.8655,-5.1665,1.142,-0.2461,1.0755,0.8568,0.0,55.069,447,2022-11-07 15:51:09:625
5.7602,-4.9797,1.1635,-0.3304,0.9521,0.8324,0.0,55.069,458,2022-11-07 15:51:09:636
5.7602,-4.9797,1.1635,-0.3909,0.8464,0.8159,0.0,55.069,467,2022-11-07 15:51:09:645
5.765,-4.9366,1.2521,-0.4477,0.7493,0.8135,0.0,55.069,477,2022-11-07 15:51:09:655
5.8153,-5.0444,1.3718,-0.5284,0.6387,0.858,0.0,55.069,487,2022-11-07 15:51:09:665
5.8871,-5.0324,1.446,-0.5284,0.6387,0.858,0.0,55.069,498,2022-11-07 15:51:09:676
5.9254,-4.8026,1.4341,-0.5717,0.5819,0.8923,0.0,55.069,508,2022-11-07 15:51:09:686
5.9517,-4.6398,1.4508,-0.6157,0.4793,0.902,0.0,55.069,518,2022-11-07 15:51:09:696
5.9517,-4.6398,1.4508,-0.6389,0.3913,0.8703,0.0,55.069,527,2022-11-07 15:51:09:705
5.9517,-4.6062,1.4508,-0.6725,0.318,0.8471,0.0,55.069,537,2022-11-07 15:51:09:715
5.8105,-4.6422,1.5059,-0.7135,0.282,0.8556,0.0,44.321,547,2022-11-07 15:51:09:725
5.8105,-4.6422,1.5059,-0.7135,0.282,0.8556,0.0,44.321,556,2022-11-07 15:51:09:734
5.8823,-4.7236,1.4963,-0.7666,0.2594,0.8843,0.0,44.321,567,2022-11-07 15:51:09:745
6.2678,-4.9654,1.6304,-0.8588,0.26,0.9393,0.0,44.321,577,2022-11-07 15:51:09:755
6.6987,-4.9797,1.695,-0.9572,0.2942,0.9723,0.0,44.321,586,2022-11-07 15:51:09:764
7.2828,-4.8935,1.7692,-1.1001,0.3492,0.9582,0.0,44.321,597,2022-11-07 15:51:09:775
7.2828,-4.8935,1.7692,-1.2473,0.3913,0.8507,0.0,44.321,606,2022-11-07 15:51:09:784
7.7425,-4.8672,1.8411,-1.3426,0.395,0.6968,0.0,44.321,618,2022-11-07 15:51:09:796
7.9508,-5.0324,1.9488,-1.4569,0.4207,0.4824,0.0,44.321,627,2022-11-07 15:51:09:805
7.9029,-5.212,2.0972,-1.5821,0.5074,0.3199,0.0,44.321,637,2022-11-07 15:51:09:815
7.7449,-5.4992,2.1595,-1.5821,0.5074,0.3199,0.0,44.321,646,2022-11-07 15:51:09:824
7.7449,-5.4992,2.1595,-1.6969,0.5514,0.2008,0.0,44.321,657,2022-11-07 15:51:09:835
7.721,-5.5806,2.1906,-1.7617,0.5453,0.1372,0.0,44.321,667,2022-11-07 15:51:09:845
