ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),PROXIMITY (m),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
6.7561,-17.4697,1.209,-2.6267,-0.3386,1.8183,0.0,46.901,16,2022-11-07 15:52:54:969
9.0569,-19.6436,-1.3407,-2.8222,-0.9575,1.7921,0.0,46.901,26,2022-11-07 15:52:54:979
10.1606,-19.2701,-2.0374,-2.5992,-2.2781,1.5825,0.0,46.901,36,2022-11-07 15:52:54:989
9.3681,-18.741,2.0757,-2.2644,-3.36,1.3742,0.0,46.901,46,2022-11-07 15:52:54:999
9.3681,-18.741,2.0757,-2.0097,-3.1633,1.3034,0.0,46.901,56,2022-11-07 15:52:55:009
7.776,-16.1458,3.0405,-1.7678,-2.1621,1.3351,0.0,46.901,66,2022-11-07 15:52:55:019
6.4138,-14.4795,3.7348,-1.3591,-0.8011,1.464,0.0,46.901,77,2022-11-07 15:52:55:030
5.3005,-12.0423,3.7132,-0.912,0.4433,1.7267,0.0,46.901,86,2022-11-07 15:52:55:039
5.018,-9.6339,3.177,-0.452,1.6216,2.004,0.0,46.901,96,2022-11-07 15:52:55:049
5.018,-9.6339,3.177,0.0587,2.8299,2.2349,0.0,46.901,105,2022-11-07 15:52:55:058
4.9486,-7.9556,2.3103,0.3647,3.5764,2.3388,0.0,46.901,116,2022-11-07 15:52:55:069
5.0779,-6.4569,0.905,0.6048,4.2202,2.3699,0.0,46.901,126,2022-11-07 15:52:55:079
5.0779,-6.4569,0.905,0.6915,4.4114,2.3425,0.0,46.901,136,2022-11-07 15:52:55:089
5.5208,-5.5184,-0.4525,0.6915,4.4114,2.3425,0.0,46.901,146,2022-11-07 15:52:55:099
6.6532,-4.3668,-2.5258,0.6873,4.2019,2.2924,0.0,46.901,156,2022-11-07 15:52:55:109
10.3617,-1.7333,-7.2589,0.4698,3.1683,1.9539,0.0,46.901,166,2022-11-07 15:52:55:119
10.3617,-1.7333,-7.2589,-0.2449,0.7065,0.8984,0.0,46.901,175,2022-11-07 15:52:55:128
10.7902,-1.3024,-7.2374,-0.6615,-0.5634,0.4127,0.0,46.901,186,2022-11-07 15:52:55:139
4.4865,-5.7746,-1.3958,-0.7843,-1.002,0.8141,0.0,53.317,196,2022-11-07 15:52:55:149
2.758,-7.2757,1.1085,-0.7843,-1.002,0.8141,0.0,53.317,207,2022-11-07 15:52:55:160
4.1825,-7.2709,1.6519,-0.6188,-0.7076,1.5575,0.0,53.317,216,2022-11-07 15:52:55:169
5.7554,-7.144,1.6017,-0.3469,-0.1554,1.8452,0.0,53.317,227,2022-11-07 15:52:55:180
5.7554,-7.144,1.6017,-0.1172,0.3657,1.6784,0.0,53.317,236,2022-11-07 15:52:55:189
6.342,-7.1847,1.4293,0.1711,1.0309,1.2007,0.0,53.317,246,2022-11-07 15:52:55:199
6.0547,-7.2685,1.0797,0.4124,1.5673,0.6803,0.0,53.317,256,2022-11-07 15:52:55:209
6.0547,-7.5606,0.5698,0.595,1.9014,0.3755,0.0,53.317,266,2022-11-07 15:52:55:219
5.0204,-7.5606,0.5698,0.6824,2.0517,0.3101,0.0,53.317,276,2022-11-07 15:52:55:229
4.3237,-7.6827,0.2155,0.6824,2.0517,0.3101,0.0,53.317,286,2022-11-07 15:52:55:239
3.9886,-7.5582,-0.1532,0.7025,2.1036,0.3474,0.0,53.317,296,2022-11-07 15:52:55:249
3.9503,-7.1129,-0.4645,0.6653,2.0248,0.3895,0.0,53.317,305,2022-11-07 15:52:55:258
3.9503,-7.1129,-0.4645,0.5944,1.8446,0.3926,0.0,53.317,316,2022-11-07 15:52:55:269
3.9048,-6.6628,-0.5698,0.4838,1.5202,0.3358,0.0,53.317,326,2022-11-07 15:52:55:279
3.8258,-6.3276,-0.5267,0.3684,1.136,0.2399,0.0,53.317,336,2022-11-07 15:52:55:289
3.6055,-6.1121,-0.4381,0.2804,0.811,0.1598,0.0,53.317,346,2022-11-07 15:52:55:299
3.414,-6.0595,-0.3328,0.1992,0.4842,0.0981,0.0,53.317,356,2022-11-07 15:52:55:309
3.2057,-6.2749,-0.225,0.1338,0.2508,0.0749,0.0,53.317,366,2022-11-07 15:52:55:319
3.2057,-6.2749,-0.225,0.1338,0.2508,0.0749,0.0,53.317,376,2022-11-07 15:52:55:329
3.3039,-6.7418,-0.0479,-0.1203,-0.5115,0.1818,0.0,53.317,385,2022-11-07 15:52:55:338
3.3039,-7.2565,0.2897,-0.1759,-0.6807,0.2069,0.0,53.317,396,2022-11-07 15:52:55:349
3.8713,-7.2565,0.2897,-0.1759,-0.6807,0.2069,0.0,53.317,406,2022-11-07 15:52:55:359
4.4506,-7.5318,0.668,-0.2339,-0.9898,0.1586,0.0,53.317,416,2022-11-07 15:52:55:369
4.8696,-8.013,1.1013,-0.2162,-1.189,0.023,0.0,53.317,426,2022-11-07 15:52:55:379
5.0611,-8.602,1.3814,-0.1667,-1.2855,-0.1096,0.0,53.317,436,2022-11-07 15:52:55:389
5.0611,-8.602,1.3814,-0.102,-1.3252,-0.2391,0.0,53.317,446,2022-11-07 15:52:55:399
5.1904,-9.1598,1.5394,-0.102,-1.3252,-0.2391,0.0,53.317,455,2022-11-07 15:52:55:408
5.176,-9.4687,1.6112,0.0092,-1.3093,-0.418,0.0,53.317,466,2022-11-07 15:52:55:419
4.8648,-9.3705,1.6376,0.1143,-1.2158,-0.5579,0.0,53.317,476,2022-11-07 15:52:55:429
4.8648,-9.3705,1.6376,0.1906,-1.0711,-0.6398,0.0,53.317,486,2022-11-07 15:52:55:439
4.3788,-8.8366,1.5633,0.2419,-0.9391,-0.6917,0.0,53.317,496,2022-11-07 15:52:55:449
4.149,-8.444,1.4867,0.2926,-0.773,-0.7546,0.0,53.317,506,2022-11-07 15:52:55:459
3.9287,-8.3674,1.3431,0.3097,-0.6801,-0.7815,0.0,46.698,516,2022-11-07 15:52:55:469
3.9287,-8.3674,1.3431,0.3183,-0.5799,-0.8371,0.0,46.698,525,2022-11-07 15:52:55:478
4.0005,-8.4823,1.1779,0.3067,-0.5298,-0.886,0.0,46.698,536,2022-11-07 15:52:55:489
3.9981,-8.8606,1.1157,0.289,-0.5121,-0.919,0.0,46.698,546,2022-11-07 15:52:55:499
4.1274,-9.1838,1.1037,0.2462,-0.5054,-0.9721,0.0,46.698,556,2022-11-07 15:52:55:509
4.1633,-9.5189,1.1516,0.2352,-0.5048,-0.9825,0.0,46.698,568,2022-11-07 15:52:55:521
4.1633,-9.5189,1.1516,0.2352,-0.5048,-0.9825,0.0,46.698,575,2022-11-07 15:52:55:528
4.2735,-10.3641,1.288,0.135,-0.4889,-1.032,0.0,46.698,586,2022-11-07 15:52:55:539
4.0365,-10.546,1.3598,0.0349,-0.4107,-1.0149,0.0,46.698,596,2022-11-07 15:52:55:549
4.0365,-10.546,1.3598,-0.0409,-0.3197,-0.9733,0.0,46.698,606,2022-11-07 15:52:55:559
3.5672,-10.1677,1.4077,-0.1118,-0.1939,-0.9037,0.0,46.698,616,2022-11-07 15:52:55:569
3.2201,-9.5764,1.4628,-0.1716,0.001,-0.8053,0.0,46.698,626,2022-11-07 15:52:55:579
3.0046,-8.9635,1.4412,-0.1887,0.1623,-0.743,0.0,46.698,636,2022-11-07 15:52:55:589
2.8538,-8.6475,1.3575,-0.1851,0.3009,-0.699,0.0,46.698,646,2022-11-07 15:52:55:599
2.7293,-8.4081,1.2808,-0.1637,0.4561,-0.6618,0.0,46.698,655,2022-11-07 15:52:55:608
2.7293,-8.4081,1.2808,-0.1447,0.5349,-0.6459,0.0,46.698,666,2022-11-07 15:52:55:619
2.7269,-8.523,1.2641,-0.1197,0.6565,-0.6239,0.0,46.698,676,2022-11-07 15:52:55:629
2.7676,-8.8199,1.2473,-0.1197,0.6565,-0.6239,0.0,46.698,686,2022-11-07 15:52:55:639
2.9208,-9.1957,1.2665,-0.0977,0.7713,-0.5976,0.0,46.698,696,2022-11-07 15:52:55:649
2.9208,-9.1957,1.2665,-0.0916,0.8275,-0.5793,0.0,46.698,706,2022-11-07 15:52:55:659
3.0381,-9.6291,1.1994,-0.1154,0.877,-0.5335,0.0,46.698,716,2022-11-07 15:52:55:669
3.0453,-9.8852,1.1444,-0.1154,0.877,-0.5335,0.0,46.698,726,2022-11-07 15:52:55:679
3.0309,-9.9475,1.0941,-0.146,0.8745,-0.4742,0.0,46.698,736,2022-11-07 15:52:55:689
2.9495,-9.7464,1.0893,-0.1728,0.8501,-0.3899,0.0,46.698,746,2022-11-07 15:52:55:699
2.928,-9.4304,1.1085,-0.1783,0.8244,-0.3154,0.0,46.698,756,2022-11-07 15:52:55:709
