ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),PROXIMITY (m),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
6.9477,-7.0315,-1.7573,1.435,-0.4614,1.4005,0.0,48.005,10,2022-11-07 15:47:31:758
7.5151,-7.7234,-1.6424,1.5693,-0.5189,1.1213,0.0,48.005,20,2022-11-07 15:47:31:768
7.5151,-7.7234,-1.6424,1.5693,-0.5189,1.1213,0.0,48.005,30,2022-11-07 15:47:31:778
8.0609,-8.7839,-1.2641,1.8314,-0.5072,0.3993,0.0,48.005,40,2022-11-07 15:47:31:788
8.2596,-9.4208,-0.984,1.8314,-0.5072,0.3993,0.0,48.005,50,2022-11-07 15:47:31:798
8.2596,-9.4208,-0.984,1.9249,-0.4932,0.0926,0.0,48.005,60,2022-11-07 15:47:31:808
8.3698,-10.0815,-0.3974,1.9994,-0.44,-0.2152,0.0,48.005,70,2022-11-07 15:47:31:818
8.3889,-10.4622,0.249,2.0587,-0.3105,-0.5072,0.0,48.005,80,2022-11-07 15:47:31:828
8.1495,-10.886,1.2521,2.1155,0.0175,-0.7785,0.0,48.005,90,2022-11-07 15:47:31:838
8.2549,-11.2594,1.142,2.1442,0.359,-0.9269,0.0,48.005,100,2022-11-07 15:47:31:848
8.2549,-11.2594,1.142,2.1265,0.4921,-0.9635,0.0,48.005,110,2022-11-07 15:47:31:858
8.5517,-11.7742,1.2497,2.0599,0.4726,-0.9752,0.0,48.005,120,2022-11-07 15:47:31:868
9.2316,-12.4014,1.3479,2.0599,0.4726,-0.9752,0.0,48.005,130,2022-11-07 15:47:31:878
9.8972,-12.897,1.5418,1.8558,0.2466,-1.0295,0.0,48.005,140,2022-11-07 15:47:31:888
9.8972,-12.897,1.5418,1.5345,-0.2036,-1.1761,0.0,48.005,151,2022-11-07 15:47:31:899
10.704,-12.9784,1.537,1.2242,-0.721,-1.4608,0.0,48.005,160,2022-11-07 15:47:31:908
10.6968,-12.9832,2.509,0.6958,-1.0393,-1.8035,0.0,48.005,170,2022-11-07 15:47:31:918
9.6386,-11.6257,3.1746,0.2535,-0.9654,-2.1731,0.0,48.005,180,2022-11-07 15:47:31:928
7.9987,-10.7112,3.3829,-0.0494,-0.4419,-2.393,0.0,48.005,190,2022-11-07 15:47:31:938
6.8567,-10.139,3.347,-0.2895,0.282,-2.5316,0.0,48.005,200,2022-11-07 15:47:31:948
6.8567,-10.139,3.347,-0.6053,1.5886,-2.6013,0.0,48.005,210,2022-11-07 15:47:31:958
6.0786,-9.6769,3.2368,-0.6053,1.5886,-2.6013,0.0,48.005,220,2022-11-07 15:47:31:968
5.3412,-9.3561,2.3079,-0.868,2.9105,-2.5384,0.0,48.005,232,2022-11-07 15:47:31:980
4.9486,-9.7248,1.6495,-0.868,2.9105,-2.5384,0.0,48.005,240,2022-11-07 15:47:31:988
4.9486,-9.7248,1.6495,-1.0592,3.3021,-2.3795,0.0,48.005,250,2022-11-07 15:47:31:998
5.4897,-9.799,0.9768,-1.2278,3.4396,-2.3001,0.0,48.005,260,2022-11-07 15:47:32:008
5.9062,-9.6626,0.4668,-1.4581,3.519,-2.2836,0.0,48.005,270,2022-11-07 15:47:32:018
6.2438,-9.5812,-0.0048,-1.6548,3.533,-2.2836,0.0,48.005,280,2022-11-07 15:47:32:028
6.0906,-9.3466,-1.0223,-1.8045,3.4854,-2.2781,0.0,48.005,290,2022-11-07 15:47:32:038
6.0906,-9.3466,-1.0223,-2.1594,3.0761,-2.1419,0.0,48.005,300,2022-11-07 15:47:32:048
5.1952,-8.906,-8.1447,-2.8906,0.0664,-1.8798,0.0,48.005,313,2022-11-07 15:47:32:061
5.1952,-8.906,-8.1447,-2.8906,0.0664,-1.8798,0.0,48.005,321,2022-11-07 15:47:32:069
6.0259,-8.614,-16.7395,-3.2809,-2.0717,-1.7968,0.0,48.005,330,2022-11-07 15:47:32:078
4.7236,-10.6202,3.5385,-3.4116,-2.6416,-1.2965,0.0,48.005,340,2022-11-07 15:47:32:088
-1.0678,-12.241,4.7451,-2.6481,-2.2696,-0.046,0.0,48.005,349,2022-11-07 15:47:32:097
-1.3742,-12.1333,5.2934,-1.1753,-3.509,1.2863,0.0,48.005,360,2022-11-07 15:47:32:108
-1.3742,-12.1333,5.2934,0.2682,-4.7967,1.9735,0.0,48.005,370,2022-11-07 15:47:32:118
2.6,-9.3035,4.623,0.2682,-4.7967,1.9735,0.0,48.005,380,2022-11-07 15:47:32:128
5.8967,-7.0841,3.833,1.5431,-5.0002,1.9918,0.0,48.005,390,2022-11-07 15:47:32:138
6.998,-6.3659,3.8593,2.5901,-2.1334,0.7573,0.0,48.005,400,2022-11-07 15:47:32:148
6.4617,-6.4138,3.4571,2.5901,-2.1334,0.7573,0.0,48.005,410,2022-11-07 15:47:32:158
6.4617,-6.4138,3.4571,2.9438,-0.1725,0.3724,0.0,48.005,419,2022-11-07 15:47:32:167
5.4202,-6.591,2.2457,3.2187,1.4451,0.3523,0.0,48.005,430,2022-11-07 15:47:32:178
4.9271,-6.4282,1.2186,3.3696,2.4212,0.5392,0.0,48.005,440,2022-11-07 15:47:32:188
4.9007,-5.8943,0.3615,3.4526,3.1207,0.7823,0.0,48.005,451,2022-11-07 15:47:32:199
4.9007,-5.8943,0.3615,3.4734,3.5617,0.9894,0.0,48.005,463,2022-11-07 15:47:32:211
5.0922,-5.2335,-0.5267,3.4288,3.7541,1.1128,0.0,48.005,470,2022-11-07 15:47:32:218
5.0922,-5.2335,-0.5267,3.1918,3.7865,1.2966,0.0,48.005,480,2022-11-07 15:47:32:228
5.5447,-4.5991,-1.8028,2.9169,3.508,1.3614,0.0,48.005,490,2022-11-07 15:47:32:238
5.8991,-4.1753,-2.3103,2.6011,3.0291,1.4066,0.0,48.005,500,2022-11-07 15:47:32:248
6.7298,-3.6534,-3.311,2.091,2.1164,1.417,0.0,48.005,510,2022-11-07 15:47:32:258
7.2685,-3.3446,-3.074,1.7178,1.4994,1.3871,0.0,48.005,519,2022-11-07 15:47:32:267
8.4536,-3.8784,-2.2385,0.9114,0.3791,1.315,0.0,48.005,536,2022-11-07 15:47:32:284
8.4536,-3.8784,-2.2385,0.9114,0.3791,1.315,0.0,48.005,540,2022-11-07 15:47:32:288
9.7967,-4.7451,-0.6488,0.2853,-0.324,1.2405,0.0,48.005,550,2022-11-07 15:47:32:298
9.7967,-4.7451,-0.6488,-0.1197,-0.6758,1.1061,0.0,48.005,560,2022-11-07 15:47:32:308
10.7064,-4.8409,0.7326,-0.4007,-0.8371,0.8275,0.0,48.005,570,2022-11-07 15:47:32:318
10.151,-4.5991,1.8123,-0.5925,-0.7064,0.3651,0.0,48.005,580,2022-11-07 15:47:32:328
8.681,-4.6062,2.2816,-0.6909,-0.3503,0.0737,0.0,48.005,590,2022-11-07 15:47:32:338
7.484,-5.03,2.1858,-0.8057,0.0841,-0.0613,0.0,48.005,603,2022-11-07 15:47:32:351
7.484,-5.3341,1.7932,-0.8747,0.3015,-0.0851,0.0,48.005,610,2022-11-07 15:47:32:358
6.962,-5.3341,1.7932,-1.138,0.7994,-0.1102,0.0,48.005,620,2022-11-07 15:47:32:368
6.9166,-5.4585,1.3455,-1.397,0.9851,-0.1688,0.0,48.005,630,2022-11-07 15:47:32:378
6.9932,-5.5711,1.0534,-1.5674,0.9857,-0.2348,0.0,48.005,640,2022-11-07 15:47:32:388
7.1177,-5.753,0.9409,-1.8857,0.8776,-0.393,0.0,48.005,654,2022-11-07 15:47:32:402
7.1177,-5.753,0.9409,-1.8857,0.8776,-0.393,0.0,48.005,660,2022-11-07 15:47:32:408
7.053,-6.0786,1.0941,-2.2889,0.6962,-0.6239,0.0,48.005,669,2022-11-07 15:47:32:417
6.8208,-6.4162,1.2545,-2.4947,0.6503,-0.7339,0.0,48.005,680,2022-11-07 15:47:32:428
6.7561,-6.8926,1.5466,-2.8209,0.6229,-0.8854,0.0,48.005,690,2022-11-07 15:47:32:438
6.7561,-6.8926,1.5466,-3.0928,0.6644,-1.0588,0.0,48.005,699,2022-11-07 15:47:32:447
6.7657,-7.563,2.0039,-3.2907,0.8196,-1.1725,0.0,48.005,711,2022-11-07 15:47:32:459
7.0626,-7.8239,2.3869,-3.4098,0.9808,-1.371,0.0,48.005,720,2022-11-07 15:47:32:468
7.3906,-7.6276,2.5282,-3.5185,1.2826,-1.506,0.0,48.005,730,2022-11-07 15:47:32:478
7.3906,-7.6276,2.5282,-3.612,1.778,-1.7186,0.0,48.005,740,2022-11-07 15:47:32:488
7.1584,-8.1998,2.6551,-3.6798,2.2264,-1.812,0.0,48.005,753,2022-11-07 15:47:32:501
