ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),PROXIMITY (m),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
4.3644,-6.7777,-3.0932,1.2822,-0.6166,0.4921,0.0,42.572,14,2022-11-07 15:49:48:090
4.4913,-7.3283,-3.6797,1.6769,-1.1053,0.687,0.0,42.572,24,2022-11-07 15:49:48:100
5.3077,-8.1974,-4.283,1.6769,-1.1053,0.687,0.0,43.828,34,2022-11-07 15:49:48:110
6.8184,-9.2484,-4.939,1.9805,-1.4816,0.7255,0.0,43.828,44,2022-11-07 15:49:48:120
7.0794,-10.0001,-5.3101,2.1753,-1.6544,0.5044,0.0,43.828,54,2022-11-07 15:49:48:130
7.0794,-10.0001,-5.3101,1.967,-1.3246,-0.0815,0.0,43.828,65,2022-11-07 15:49:48:141
6.9644,-10.2587,-5.504,1.967,-1.3246,-0.0815,0.0,43.828,74,2022-11-07 15:49:48:150
6.8088,-10.6753,-5.504,1.7251,-1.1309,-0.3783,0.0,43.828,84,2022-11-07 15:49:48:160
6.6532,-10.8764,-5.0108,1.424,-1.0876,-0.6477,0.0,43.828,94,2022-11-07 15:49:48:170
6.6532,-10.8764,-5.0108,1.245,-1.0094,-0.8206,0.0,43.828,104,2022-11-07 15:49:48:180
6.7561,-10.8764,-3.9239,1.1057,-0.8664,-1.0362,0.0,43.828,114,2022-11-07 15:49:48:190
7.12,-10.6633,-3.3637,1.1057,-0.8664,-1.0362,0.0,43.828,123,2022-11-07 15:49:48:199
7.3906,-10.2108,-2.8179,0.9414,-0.7052,-1.4901,0.0,43.828,134,2022-11-07 15:49:48:210
8.0346,-9.337,-1.9871,0.8009,-0.5744,-1.9031,0.0,43.828,144,2022-11-07 15:49:48:220
8.0346,-9.337,-1.9871,0.6121,-0.3435,-2.4174,0.0,43.828,154,2022-11-07 15:49:48:230
9.3944,-8.8797,-0.3136,0.3574,0.3901,-3.6599,0.0,43.828,170,2022-11-07 15:49:48:246
9.3944,-8.8797,-0.3136,0.3574,0.3901,-3.6599,0.0,43.828,174,2022-11-07 15:49:48:250
