ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),PROXIMITY (m),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
12.2123,-8.0011,-2.7987,-1.7843,8.5372,-0.3111,0.0,46.004,17,2022-11-07 15:50:56:730
12.2123,-8.0011,-2.7987,-2.2143,6.0088,-0.9605,0.0,46.004,27,2022-11-07 15:50:56:740
10.2994,-6.6771,-2.6263,-2.3432,3.5379,-1.7247,0.0,46.004,37,2022-11-07 15:50:56:750
8.195,-5.9805,-1.3287,-2.3695,1.5831,-2.3484,0.0,46.004,47,2022-11-07 15:50:56:760
6.0116,-6.8016,0.6464,-2.5094,0.1812,-2.4583,0.0,46.004,57,2022-11-07 15:50:56:770
5.2287,-6.4593,1.537,-2.5778,-0.1939,-2.0967,0.0,46.004,69,2022-11-07 15:50:56:782
5.2287,-6.4593,1.537,-2.5693,-0.1126,-1.5824,0.0,46.004,77,2022-11-07 15:50:56:790
4.5009,-6.816,2.2983,-2.4251,0.1543,-0.9574,0.0,46.004,87,2022-11-07 15:50:56:800
4.3932,-6.828,2.9064,-2.1563,0.5202,-0.3545,0.0,46.004,97,2022-11-07 15:50:56:810
4.3932,-6.828,2.9064,-2.1563,0.5202,-0.3545,0.0,46.004,107,2022-11-07 15:50:56:820
5.5256,-6.8304,3.6007,-1.8228,1.0053,0.1134,0.0,46.004,117,2022-11-07 15:50:56:830
7.6372,-7.2685,3.8665,-1.0054,2.2398,0.5001,0.0,46.004,129,2022-11-07 15:50:56:842
8.748,-7.7066,3.4307,-1.0054,2.2398,0.5001,0.0,46.004,137,2022-11-07 15:50:56:850
8.748,-7.7066,3.4307,-0.609,2.6961,0.4555,0.0,46.004,147,2022-11-07 15:50:56:860
8.6331,-7.7353,2.7173,-0.3439,2.8708,0.4457,0.0,46.004,157,2022-11-07 15:50:56:870
7.934,-7.4648,1.9967,-0.2345,2.8018,0.5184,0.0,46.004,166,2022-11-07 15:50:56:879
7.132,-6.816,1.3694,-0.1991,2.5825,0.6479,0.0,46.004,177,2022-11-07 15:50:56:890
7.132,-6.816,1.3694,-0.2095,2.1537,0.8153,0.0,46.004,188,2022-11-07 15:50:56:901
6.1864,-5.911,0.9864,-0.2327,1.7921,0.9423,0.0,46.004,197,2022-11-07 15:50:56:910
5.753,-5.3867,0.9816,-0.2584,1.4109,1.0767,0.0,46.004,207,2022-11-07 15:50:56:920
5.8081,-5.3819,1.0678,-0.2675,1.1067,1.2154,0.0,46.004,217,2022-11-07 15:50:56:930
5.8081,-5.3819,1.0678,-0.2675,1.1067,1.2154,0.0,46.004,227,2022-11-07 15:50:56:940
6.2175,-5.4945,1.312,-0.2413,0.9191,1.3107,0.0,46.004,237,2022-11-07 15:50:56:950
6.7753,-5.7003,1.6112,-0.1539,0.7462,1.3895,0.0,46.004,247,2022-11-07 15:50:56:960
7.5342,-5.8919,1.9009,-0.0103,0.6424,1.4109,0.0,46.004,257,2022-11-07 15:50:56:970
7.9652,-6.0595,2.0374,0.1332,0.5893,1.3822,0.0,46.004,266,2022-11-07 15:50:56:979
8.2118,-6.2462,2.0685,0.2853,0.563,1.34,0.0,46.004,280,2022-11-07 15:50:56:993
8.2118,-6.2462,2.0685,0.4289,0.5538,1.3021,0.0,46.004,287,2022-11-07 15:50:57:000
8.2812,-6.2821,1.9536,0.5327,0.5294,1.282,0.0,46.004,297,2022-11-07 15:50:57:010
8.2812,-6.2821,1.9536,0.7209,0.4598,1.2398,0.0,46.004,307,2022-11-07 15:50:57:020
8.1782,-6.0212,1.6687,0.8449,0.3791,1.1971,0.0,46.004,317,2022-11-07 15:50:57:030
7.867,-5.7578,1.4915,0.9169,0.3138,1.1714,0.0,55.002,328,2022-11-07 15:50:57:041
7.4528,-5.5112,1.2737,0.9591,0.2337,1.1604,0.0,55.002,337,2022-11-07 15:50:57:050
7.0841,-5.2407,1.0462,0.9774,0.1317,1.1519,0.0,55.002,347,2022-11-07 15:50:57:060
6.6819,-4.9654,0.9002,0.9658,-0.0241,1.1586,0.0,55.002,357,2022-11-07 15:50:57:070
6.6819,-4.9654,0.9002,0.9658,-0.0241,1.1586,0.0,55.002,367,2022-11-07 15:50:57:080
6.3659,-4.532,0.9217,0.9231,-0.1627,1.1623,0.0,55.002,377,2022-11-07 15:50:57:090
6.1504,-4.1777,0.9457,0.8693,-0.244,1.1574,0.0,55.002,386,2022-11-07 15:50:57:099
6.0092,-3.7899,0.9936,0.7948,-0.2971,1.1507,0.0,55.002,397,2022-11-07 15:50:57:110
5.8464,-3.5026,0.9936,0.6402,-0.3185,1.114,0.0,55.002,408,2022-11-07 15:50:57:121
5.8464,-3.5026,0.9936,0.5419,-0.3136,1.0841,0.0,55.002,417,2022-11-07 15:50:57:130
5.8224,-3.4331,1.051,0.3501,-0.2666,1.0413,0.0,55.002,426,2022-11-07 15:50:57:139
5.9398,-3.4547,1.0773,0.1308,-0.2079,0.9833,0.0,55.002,437,2022-11-07 15:50:57:150
6.1983,-3.6654,1.0438,-0.0714,-0.1755,0.9307,0.0,55.002,447,2022-11-07 15:50:57:160
