sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
6.2288;-7.01;0.2345;6.7777;-7.0812;0.2996;-0.025;-0.0611;0.2507;-0.1194;-0.2015;-0.0798;0.0;-51.82;18.35;-28.0;224.69;46.23;-87.47;0.0;975.85;35.922;35.95944;-83.929665;855.81;NaN;;;50.780643;;0 / 16;12;2022-10-26 00:31:23:331
5.3091;-12.5288;-1.5718;0.1429;-9.7468;-1.0721;3.2566;-2.8806;-0.7943;-0.0574;-3.8382;3.0574;0.0;-45.19;29.94;-30.91;225.94;64.9;-88.42;0.0;975.87;45.003;35.95944;-83.929665;855.81;NaN;;;50.780643;;0 / 16;512;2022-10-26 00:31:23:831
-0.9145;-8.4157;0.2843;-2.5717;-9.3734;1.3021;1.4703;-0.1875;-0.7535;0.1845;-1.0208;0.4197;0.0;-15.1;53.41;-19.68;51.28;72.91;63.15;0.0;975.87;44.62;35.95944;-83.929665;855.81;NaN;;;50.780643;;0 / 16;1012;2022-10-26 00:31:24:331
-1.1033;-9.9606;1.4869;-2.0474;-9.4585;1.586;0.9585;-0.569;-0.3599;0.5497;0.122;0.4177;0.0;-21.15;51.46;-16.47;46.09;79.06;58.15;0.0;975.85;41.307;35.95944;-83.929665;855.81;NaN;;;50.780643;;0 / 16;1512;2022-10-26 00:31:24:831
-1.7258;-9.4096;1.6978;-1.9797;-9.5271;1.219;-0.0618;0.1211;0.8187;-0.22;0.0158;0.1467;0.0;-20.43;51.2;-15.59;49.65;76.29;58.38;0.0;975.85;38.677;35.95944;-83.929665;855.81;NaN;;;50.780643;;0 / 16;2011;2022-10-26 00:31:25:330
-2.0193;-9.5172;1.3078;-1.9753;-9.4708;1.6038;-0.0443;-0.0276;-0.4061;-0.1518;-0.1383;0.0388;0.0;-21.9;49.85;-19.08;59.64;74.4;47.89;0.0;975.84;39.586;35.95944;-83.929665;855.81;NaN;;;50.780643;;0 / 16;2512;2022-10-26 00:31:25:831
-2.0708;-9.4493;1.7331;-2.0071;-9.4548;1.6579;0.0924;0.0491;0.296;0.137;0.122;-0.064;0.0;-21.82;51.6;-17.5;53.98;74.61;50.44;0.0;975.84;40.827;35.95944;-83.929665;855.81;NaN;;;50.780643;;0 / 16;3013;2022-10-26 00:31:26:332
