sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
5.939;-7.9701;0.4649;5.8587;-7.858;0.3125;-0.3056;0.2134;-0.0737;-0.0173;-0.0114;-0.1487;0.0;-51.08;22.86;-22.04;214.32;54.07;-87.25;0.0;975.86;38.674;35.95944;-83.929665;855.81;NaN;;;50.780643;;0 / 16;27;2022-10-26 00:31:10:445
2.8228;-11.7603;0.1197;3.0761;-9.3117;0.0034;1.0329;-2.578;-0.1027;-0.9622;-1.2796;1.4617;0.0;-40.47;38.02;-23.24;221.35;71.72;-89.94;0.0;975.84;41.302;35.95944;-83.929665;855.81;NaN;;;50.780643;;0 / 16;527;2022-10-26 00:31:10:945
-2.0279;-8.2814;0.4569;-2.2586;-9.537;0.3398;1.0426;1.4783;-1.2936;0.8891;-1.3857;0.4427;0.0;-19.36;55.32;-11.06;346.74;78.79;139.5;0.0;975.84;46.346;35.95944;-83.929665;855.81;NaN;;;50.780643;;0 / 16;1027;2022-10-26 00:31:11:445
-2.3905;-9.7821;2.0544;-2.1891;-9.4317;1.5559;-0.1244;-0.4025;0.2251;-0.7291;-1.1939;-0.0362;0.0;-20.28;54.16;-9.96;38.23;72.53;52.47;0.0;975.83;41.174;35.95944;-83.929665;855.81;NaN;;;50.780643;;0 / 16;1527;2022-10-26 00:31:11:945
-2.0133;-9.3682;1.777;-2.0841;-9.2475;2.5123;0.3118;-0.1648;-0.5049;0.4053;0.2814;-0.2133;0.0;-19.76;52.31;-11.09;43.83;71.12;44.97;0.0;975.84;35.256;35.95944;-83.929665;855.81;NaN;;;50.780643;;0 / 16;2027;2022-10-26 00:31:12:445
-2.499;-9.2069;2.6243;-2.1858;-9.3248;2.1072;-0.2175;0.1749;0.3741;0.0543;-0.066;-0.1133;0.0;-19.3;52.3;-10.58;44.01;71.97;46.05;0.0;975.83;34.098;35.95944;-83.929665;855.81;NaN;;;50.780643;;0 / 16;2527;2022-10-26 00:31:12:945
-2.4382;-9.2116;2.5363;-2.1944;-9.277;2.3005;-0.1722;0.0635;-0.0073;-0.1708;-0.1176;0.0778;0.0;-21.09;53.05;-13.93;49.61;70.34;41.96;0.0;975.83;30.569;35.95944;-83.929665;855.81;NaN;;;50.780643;;0 / 16;3028;2022-10-26 00:31:13:446
